seed,epoch,loss,test_acc,epoch_time
42,1,2.302526,0.212700,6.278
42,2,2.329571,0.098300,6.173
42,3,2.346560,0.133800,5.662
42,4,2.301250,0.131400,5.689
42,5,2.256552,0.190500,6.863
42,6,2.220986,0.260500,6.265
42,7,2.149819,0.308800,5.991
42,8,2.145313,0.305900,5.852
42,9,2.194475,0.306800,5.629
42,10,2.195180,0.385200,6.162
42,11,2.177466,0.316200,6.320
42,12,2.172931,0.278900,6.052
42,13,2.190475,0.243200,5.799
42,14,2.184926,0.258800,5.575
42,15,2.161818,0.272200,6.114
42,16,2.107039,0.369700,6.310
42,17,2.054706,0.396800,6.071
42,18,2.081433,0.380900,5.708
42,19,2.081029,0.418200,5.715
42,20,2.089653,0.294400,6.204
42,21,2.177442,0.313000,6.362
42,22,2.174254,0.315200,6.182
42,23,2.173205,0.325900,5.783
42,24,2.164582,0.323400,5.721
42,25,2.135010,0.315200,6.153
123,1,2.301881,0.128900,6.342
123,2,2.316151,0.156400,6.106
123,3,2.296189,0.188800,5.799
123,4,2.288612,0.204000,5.756
123,5,2.269278,0.175100,6.193
123,6,2.235505,0.132800,6.385
123,7,2.269001,0.211000,5.998
123,8,2.270917,0.294600,6.663
123,9,2.249027,0.307400,5.850
123,10,2.276643,0.234900,6.233
123,11,2.257214,0.249300,6.313
123,12,2.280010,0.247900,6.007
123,13,2.281765,0.269700,5.870
123,14,2.308147,0.238000,5.902
123,15,2.299334,0.222200,6.362
123,16,2.257090,0.163900,6.401
123,17,2.294038,0.243100,5.951
123,18,2.283822,0.273000,5.791
123,19,2.280459,0.277700,5.850
123,20,2.277515,0.272900,6.214
123,21,2.255678,0.271500,6.345
123,22,2.250384,0.187200,5.958
123,23,2.258849,0.194500,5.835
123,24,2.260921,0.184900,6.320
123,25,2.310650,0.188000,6.340
7,1,2.297575,0.141900,6.450
7,2,2.302527,0.118400,5.863
7,3,2.302511,0.194300,5.832
7,4,2.302559,0.189000,5.868
7,5,2.294283,0.173600,6.161
7,6,2.278489,0.262000,6.217
7,7,2.291740,0.192500,5.805
7,8,2.302585,0.199500,5.705
7,9,2.302585,0.206900,5.854
7,10,2.302475,0.213900,5.994
7,11,2.301133,0.223500,6.166
7,12,2.299347,0.225500,5.883
7,13,2.274443,0.225300,5.858
7,14,2.245222,0.260600,5.798
7,15,2.223340,0.179900,6.550
7,16,2.216512,0.204000,6.914
7,17,2.203940,0.133300,5.814
7,18,2.254718,0.250500,5.862
7,19,2.223741,0.255900,5.795
7,20,2.153136,0.390300,6.120
7,21,2.134635,0.391800,6.394
7,22,2.142422,0.391200,5.761
7,23,2.134090,0.399900,5.807
7,24,2.162339,0.332700,5.783
7,25,2.145314,0.344200,6.207
