seed,epoch,loss,test_acc,epoch_time
42,1,2.276075,0.293700,6.363
42,2,2.155562,0.359000,6.166
42,3,2.047382,0.173300,6.604
42,4,2.146550,0.345600,6.810
42,5,2.149582,0.195800,6.607
42,6,2.227875,0.210800,6.258
42,7,2.235435,0.209000,6.226
42,8,2.238186,0.211400,6.833
42,9,2.098535,0.454000,6.814
42,10,2.031446,0.451200,6.283
42,11,1.998223,0.426000,6.260
42,12,1.964045,0.417700,6.320
42,13,1.963791,0.454800,6.642
42,14,1.959020,0.434400,7.433
42,15,1.973226,0.505400,6.256
42,16,1.947609,0.504700,6.033
42,17,1.943281,0.525100,6.545
42,18,1.934566,0.556700,6.844
42,19,1.914391,0.556100,6.523
42,20,1.985511,0.428200,6.323
42,21,2.045724,0.434800,6.372
42,22,2.044527,0.383800,6.676
42,23,2.053496,0.385500,6.856
42,24,2.068241,0.370700,6.253
42,25,2.074727,0.350200,6.151
123,1,2.259486,0.189700,6.634
123,2,2.266694,0.330900,6.848
123,3,2.215166,0.336700,6.519
123,4,2.211596,0.127500,6.403
123,5,2.200775,0.178100,6.315
123,6,2.160006,0.269400,6.896
123,7,2.152784,0.285100,6.867
123,8,2.124639,0.204600,6.390
123,9,2.262076,0.188800,6.209
123,10,2.246901,0.205500,6.458
123,11,2.254405,0.268700,6.828
123,12,2.243517,0.258000,6.747
123,13,2.209512,0.294100,6.392
123,14,2.126748,0.314800,6.321
123,15,2.078491,0.311800,6.805
123,16,2.108663,0.324900,6.816
123,17,2.112338,0.377900,6.406
123,18,2.102445,0.346800,6.344
123,19,2.097750,0.459100,6.395
123,20,2.085157,0.479300,6.817
123,21,2.104213,0.478400,6.898
123,22,2.099734,0.447500,6.238
123,23,2.090248,0.421300,6.261
123,24,2.089505,0.426600,6.814
123,25,2.083952,0.433200,6.844
7,1,2.299744,0.133200,6.513
7,2,2.282184,0.258400,6.302
7,3,2.265338,0.240400,6.417
7,4,2.226470,0.325900,6.783
7,5,2.220868,0.312400,6.949
7,6,2.280965,0.108600,6.309
7,7,2.237155,0.196400,6.143
7,8,2.196092,0.339000,6.577
7,9,2.201596,0.433200,6.759
7,10,2.184481,0.146500,6.535
7,11,2.341238,0.183700,6.311
7,12,2.338843,0.187000,6.136
7,13,2.328119,0.185300,6.636
7,14,2.324271,0.191900,6.689
7,15,2.312193,0.195700,7.341
7,16,2.289431,0.216700,6.177
7,17,2.316435,0.183100,6.531
7,18,2.329018,0.201200,6.919
7,19,2.319419,0.239600,6.671
7,20,2.150787,0.319000,6.294
7,21,2.116419,0.319700,6.109
7,22,2.125390,0.295200,6.740
7,23,2.161467,0.317800,6.829
7,24,2.154572,0.365000,6.391
7,25,2.149751,0.392600,6.342
