seed,epoch,loss,test_acc,epoch_time
42,1,1.890391,0.651500,6.374
42,2,1.663285,0.820000,6.057
42,3,1.586779,0.898800,5.742
42,4,1.556372,0.915100,5.913
42,5,1.545728,0.917300,6.276
42,6,1.541452,0.927500,6.458
42,7,1.538308,0.919100,5.841
42,8,1.533550,0.922500,5.884
42,9,1.530865,0.930900,5.924
42,10,1.528491,0.929600,6.305
42,11,1.528353,0.926600,6.477
42,12,1.525100,0.935100,5.854
42,13,1.521075,0.934400,5.857
42,14,1.521088,0.934000,5.990
42,15,1.518578,0.932400,6.264
42,16,1.519658,0.937600,6.458
42,17,1.518816,0.938600,5.837
42,18,1.517025,0.938300,5.699
42,19,1.514816,0.941800,6.032
42,20,1.516768,0.940400,6.181
42,21,1.513621,0.941400,6.414
42,22,1.511859,0.944200,5.842
42,23,1.512160,0.947000,5.752
42,24,1.513676,0.939400,6.341
42,25,1.512485,0.944700,6.388
123,1,1.765483,0.789900,6.295
123,2,1.599111,0.901700,5.787
123,3,1.561777,0.908800,5.797
123,4,1.552116,0.908600,6.120
123,5,1.543620,0.916800,6.381
123,6,1.538947,0.921100,6.137
123,7,1.536732,0.919800,5.779
123,8,1.533557,0.924800,5.757
123,9,1.534287,0.917100,6.250
123,10,1.528905,0.928000,6.320
123,11,1.527075,0.934300,6.117
123,12,1.524355,0.931700,5.698
123,13,1.525964,0.932900,5.774
123,14,1.522201,0.937000,6.091
123,15,1.521159,0.936000,6.283
123,16,1.519963,0.933500,6.307
123,17,1.520425,0.930800,5.850
123,18,1.518791,0.934600,5.661
123,19,1.517072,0.931500,6.231
123,20,1.516146,0.933200,6.494
123,21,1.515113,0.937400,6.278
123,22,1.515664,0.941900,5.851
123,23,1.514638,0.941300,5.769
123,24,1.515423,0.938400,6.473
123,25,1.513045,0.938300,6.679
7,1,1.850707,0.726300,6.185
7,2,1.616017,0.894000,6.005
7,3,1.565519,0.909200,5.777
7,4,1.552939,0.911900,6.379
7,5,1.546133,0.917000,6.390
7,6,1.540616,0.921400,5.906
7,7,1.536977,0.924400,5.855
7,8,1.534516,0.927700,5.811
7,9,1.530836,0.931900,6.421
7,10,1.525185,0.933100,6.526
7,11,1.523741,0.933200,5.948
7,12,1.522375,0.935100,5.969
7,13,1.520349,0.933800,5.777
7,14,1.519004,0.934700,6.392
7,15,1.518718,0.938300,6.505
7,16,1.517612,0.937200,5.924
7,17,1.518613,0.938400,5.842
7,18,1.515456,0.941900,6.096
7,19,1.516107,0.941500,6.373
7,20,1.515811,0.941900,6.504
7,21,1.516489,0.940200,5.930
7,22,1.513546,0.940600,5.850
7,23,1.514293,0.943600,5.989
7,24,1.510302,0.942500,6.403
7,25,1.509702,0.945600,6.439
