seed,epoch,loss,test_acc,epoch_time
42,1,1.636803,0.915800,6.302
42,2,1.544174,0.927100,6.411
42,3,1.530227,0.936200,5.827
42,4,1.523456,0.934100,5.797
42,5,1.521312,0.939100,5.938
42,6,1.517070,0.940700,6.367
42,7,1.514967,0.936600,6.308
42,8,1.515668,0.943600,5.832
42,9,1.514577,0.944100,5.715
42,10,1.512355,0.943000,6.079
42,11,1.511203,0.946600,6.389
42,12,1.515328,0.940100,6.325
42,13,1.512221,0.944400,5.780
42,14,1.510352,0.947800,5.752
42,15,1.508229,0.945000,6.168
42,16,1.508996,0.942200,6.459
42,17,1.508116,0.941100,6.351
42,18,1.507392,0.945100,5.750
42,19,1.505502,0.943700,6.029
42,20,1.508226,0.950000,6.413
42,21,1.504221,0.949900,6.558
42,22,1.505027,0.949300,6.100
42,23,1.506511,0.949200,5.810
42,24,1.504226,0.949300,5.681
42,25,1.502957,0.950300,6.197
123,1,1.584740,0.926600,6.247
123,2,1.533813,0.934500,5.979
123,3,1.529149,0.935500,5.919
123,4,1.521047,0.943300,5.727
123,5,1.517308,0.938600,6.240
123,6,1.518649,0.933200,6.452
123,7,1.516003,0.938900,5.919
123,8,1.514092,0.944200,5.942
123,9,1.513404,0.944100,5.698
123,10,1.511745,0.944800,6.264
123,11,1.510732,0.950100,6.382
123,12,1.509555,0.946300,5.997
123,13,1.507733,0.951900,5.823
123,14,1.507037,0.952600,5.730
123,15,1.506713,0.951300,6.270
123,16,1.507017,0.949000,6.428
123,17,1.508270,0.948800,6.016
123,18,1.504906,0.952400,6.034
123,19,1.505182,0.947600,5.723
123,20,1.506432,0.947700,6.336
123,21,1.506495,0.951100,6.455
123,22,1.504532,0.950900,5.982
123,23,1.501551,0.950000,5.927
123,24,1.501052,0.949700,5.773
123,25,1.501695,0.955000,6.354
7,1,1.609382,0.918300,6.407
7,2,1.535253,0.933100,5.939
7,3,1.528020,0.933700,5.999
7,4,1.520908,0.934900,5.945
7,5,1.518388,0.938900,6.180
7,6,1.518390,0.938300,6.499
7,7,1.516031,0.941500,5.871
7,8,1.511457,0.942100,5.823
7,9,1.509952,0.945500,5.762
7,10,1.511883,0.945400,6.354
7,11,1.510864,0.945500,6.434
7,12,1.509295,0.944500,5.860
7,13,1.508554,0.948400,5.911
7,14,1.508158,0.946400,5.818
7,15,1.508591,0.947900,6.369
7,16,1.508283,0.954300,6.526
7,17,1.505176,0.950200,5.973
7,18,1.504257,0.951700,5.805
7,19,1.500476,0.956200,5.831
7,20,1.500467,0.954800,6.124
7,21,1.500125,0.954300,6.422
7,22,1.502100,0.951600,5.909
7,23,1.505739,0.948700,5.820
7,24,1.503086,0.947600,5.973
7,25,1.502936,0.952100,6.312
