seed,epoch,loss,test_acc,epoch_time
42,1,1.610051,0.913600,7.030
42,2,1.540036,0.906100,6.819
42,3,1.539783,0.907400,6.563
42,4,1.531749,0.929400,6.448
42,5,1.528572,0.927300,7.011
42,6,1.523814,0.928600,7.109
42,7,1.529243,0.938300,6.450
42,8,1.530851,0.930500,6.395
42,9,1.523741,0.936900,6.669
42,10,1.524014,0.936600,6.996
42,11,1.520597,0.935000,6.875
42,12,1.515784,0.942000,6.477
42,13,1.516198,0.939700,6.454
42,14,1.516682,0.944600,6.932
42,15,1.515868,0.937200,7.083
42,16,1.513791,0.942100,6.635
42,17,1.514687,0.941100,6.485
42,18,1.514237,0.938800,6.625
42,19,1.511848,0.941500,6.969
42,20,1.510420,0.940600,6.780
42,21,1.508881,0.939800,6.523
42,22,1.508751,0.943800,6.332
42,23,1.508246,0.943900,7.145
42,24,1.509358,0.947700,6.921
42,25,1.505805,0.946100,6.491
123,1,1.581930,0.922900,6.300
123,2,1.533661,0.917900,6.899
123,3,1.529676,0.925000,7.055
123,4,1.529715,0.930600,6.676
123,5,1.527674,0.929200,6.425
123,6,1.525908,0.932700,6.400
123,7,1.527828,0.929800,6.856
123,8,1.526399,0.934500,7.032
123,9,1.522951,0.936600,6.638
123,10,1.520154,0.940400,6.287
123,11,1.517355,0.939600,6.742
123,12,1.516025,0.941000,7.143
123,13,1.516700,0.934700,6.718
123,14,1.517451,0.938700,6.391
123,15,1.520130,0.937600,6.420
123,16,1.515276,0.946200,6.854
123,17,1.513905,0.947300,7.074
123,18,1.515100,0.940300,6.568
123,19,1.513506,0.932100,6.215
123,20,1.514459,0.944500,6.861
123,21,1.515020,0.941100,7.027
123,22,1.513400,0.947600,6.542
123,23,1.512756,0.908600,6.592
123,24,1.514749,0.945700,6.590
123,25,1.508858,0.946100,7.004
7,1,1.634298,0.911400,7.070
7,2,1.541046,0.917000,6.439
7,3,1.540284,0.913100,6.269
7,4,1.542277,0.921500,6.779
7,5,1.535790,0.924400,6.926
7,6,1.538584,0.924300,6.527
7,7,1.530516,0.928500,6.599
7,8,1.531104,0.910200,6.586
7,9,1.531358,0.922900,6.812
7,10,1.524498,0.934200,7.044
7,11,1.522678,0.931000,6.433
7,12,1.522093,0.935900,6.368
7,13,1.523925,0.934500,6.785
7,14,1.523534,0.937800,7.239
7,15,1.518457,0.938300,6.553
7,16,1.518064,0.930300,6.478
7,17,1.516813,0.941200,6.506
7,18,1.518009,0.934500,6.978
7,19,1.514741,0.936500,7.124
7,20,1.511826,0.945700,6.342
7,21,1.511751,0.944400,6.264
7,22,1.522508,0.927700,6.762
7,23,1.525202,0.939400,6.941
7,24,1.511662,0.940700,6.763
7,25,1.509892,0.924200,6.485
