seed,epoch,loss,test_acc,epoch_time
42,1,1.636780,0.900500,6.564
42,2,1.536108,0.926300,6.210
42,3,1.523921,0.930300,5.908
42,4,1.519028,0.936700,6.184
42,5,1.515852,0.942800,6.530
42,6,1.512340,0.943800,6.365
42,7,1.507425,0.945400,5.954
42,8,1.504877,0.947700,5.994
42,9,1.503098,0.949200,6.374
42,10,1.501127,0.952000,6.497
42,11,1.500037,0.953700,6.313
42,12,1.499329,0.951700,6.139
42,13,1.497300,0.957700,6.067
42,14,1.495797,0.956200,6.611
42,15,1.495869,0.956900,6.700
42,16,1.496067,0.955100,6.292
42,17,1.496473,0.959800,6.192
42,18,1.492747,0.958400,6.106
42,19,1.491894,0.958900,6.500
42,20,1.490852,0.961800,6.690
42,21,1.489266,0.959400,6.103
42,22,1.489729,0.961800,6.055
42,23,1.489554,0.959900,6.640
42,24,1.488079,0.959700,6.553
42,25,1.487457,0.964800,6.598
123,1,1.589177,0.921100,5.998
123,2,1.525050,0.936100,6.121
123,3,1.515007,0.941800,6.493
123,4,1.509792,0.942000,6.548
123,5,1.507629,0.947200,6.400
123,6,1.504093,0.947800,6.050
123,7,1.502711,0.947000,6.056
123,8,1.499676,0.949200,6.639
123,9,1.497421,0.953700,6.612
123,10,1.494613,0.954100,6.146
123,11,1.494857,0.954500,6.211
123,12,1.492836,0.956900,6.164
123,13,1.491904,0.959000,6.485
123,14,1.491633,0.957900,6.609
123,15,1.490739,0.960500,6.073
123,16,1.490325,0.960200,6.029
123,17,1.489645,0.961900,6.279
123,18,1.489920,0.962800,6.573
123,19,1.487831,0.962100,6.465
123,20,1.487940,0.961100,6.042
123,21,1.486679,0.963300,5.961
123,22,1.485567,0.963000,6.571
123,23,1.485865,0.963700,6.611
123,24,1.485403,0.963000,6.205
123,25,1.484201,0.965400,6.136
7,1,1.608515,0.924500,5.956
7,2,1.527984,0.928900,6.541
7,3,1.515421,0.940600,7.571
7,4,1.509734,0.947800,6.222
7,5,1.505555,0.948400,6.114
7,6,1.502997,0.952000,6.190
7,7,1.500051,0.952200,6.271
7,8,1.497546,0.956300,6.433
7,9,1.497803,0.953300,6.062
7,10,1.496124,0.954200,6.004
7,11,1.494526,0.955600,6.320
7,12,1.493632,0.957300,6.707
7,13,1.493374,0.957400,6.467
7,14,1.492102,0.957500,6.215
7,15,1.492190,0.958700,5.931
7,16,1.490259,0.961600,6.820
7,17,1.489624,0.962600,6.709
7,18,1.488272,0.962800,6.193
7,19,1.488141,0.961500,6.042
7,20,1.488834,0.961800,6.084
7,21,1.487328,0.962400,6.620
7,22,1.485894,0.963000,6.656
7,23,1.485940,0.964700,6.222
7,24,1.485522,0.964600,6.128
7,25,1.485011,0.964700,6.311
