seed,epoch,loss,test_acc,epoch_time
42,1,1.658773,0.900000,5.353
42,2,1.549282,0.927800,5.326
42,3,1.536412,0.928100,5.090
42,4,1.526876,0.933800,4.925
42,5,1.524859,0.936100,4.916
42,6,1.518342,0.941800,5.283
42,7,1.515602,0.942900,5.389
42,8,1.512257,0.945900,5.382
42,9,1.510940,0.945400,4.997
42,10,1.508609,0.943100,5.187
42,11,1.506930,0.943400,4.919
42,12,1.504712,0.947500,5.210
42,13,1.503521,0.949500,5.310
42,14,1.502962,0.950000,5.313
42,15,1.500318,0.951100,4.986
42,16,1.500783,0.952100,4.973
42,17,1.500740,0.950900,4.869
42,18,1.499773,0.953700,5.443
42,19,1.497831,0.955800,5.471
42,20,1.496647,0.956400,5.219
42,21,1.495526,0.956300,4.972
42,22,1.494920,0.955600,4.962
42,23,1.493491,0.955800,5.139
42,24,1.492370,0.957600,5.330
42,25,1.490666,0.959800,5.377
123,1,1.621050,0.907600,5.087
123,2,1.547457,0.920900,4.959
123,3,1.533520,0.930200,4.810
123,4,1.525880,0.931400,5.202
123,5,1.521338,0.937500,5.240
123,6,1.517741,0.936200,5.518
123,7,1.516602,0.941400,5.076
123,8,1.511799,0.944000,4.927
123,9,1.509297,0.943500,5.117
123,10,1.509812,0.945300,5.309
123,11,1.507432,0.945700,5.297
123,12,1.505641,0.948700,5.374
123,13,1.503169,0.951500,4.990
123,14,1.502221,0.952100,5.015
123,15,1.502057,0.953300,4.907
123,16,1.500673,0.953400,5.215
123,17,1.500087,0.953000,5.411
123,18,1.498644,0.956200,5.269
123,19,1.497144,0.956100,5.000
123,20,1.496543,0.958400,4.977
123,21,1.495598,0.958000,4.925
123,22,1.495772,0.961700,5.232
123,23,1.494372,0.958900,5.263
123,24,1.493436,0.958200,5.188
123,25,1.493034,0.960100,4.966
7,1,1.634932,0.903100,4.977
7,2,1.542433,0.929100,5.048
7,3,1.528730,0.932300,5.306
7,4,1.522848,0.935400,5.308
7,5,1.521056,0.940000,5.139
7,6,1.518671,0.944600,4.999
7,7,1.515059,0.937700,4.949
7,8,1.511616,0.945900,5.084
7,9,1.511240,0.944900,5.237
7,10,1.509563,0.947700,5.295
7,11,1.508394,0.951700,5.048
7,12,1.504550,0.946300,4.911
7,13,1.502786,0.951100,4.876
7,14,1.502696,0.951800,5.063
7,15,1.502420,0.951200,5.252
7,16,1.500620,0.952400,5.286
7,17,1.499751,0.955000,5.089
7,18,1.499845,0.952500,5.084
7,19,1.499312,0.955000,4.860
7,20,1.497634,0.953500,5.035
7,21,1.495744,0.959100,5.232
7,22,1.495294,0.959000,5.234
7,23,1.495081,0.958200,5.117
7,24,1.494132,0.957900,4.892
7,25,1.493140,0.959600,4.928
