seed,epoch,loss,test_acc,epoch_time
42,1,1.620075,0.914800,5.436
42,2,1.541636,0.927600,5.849
42,3,1.530105,0.932000,5.770
42,4,1.522273,0.938900,5.843
42,5,1.517165,0.933700,5.516
42,6,1.514989,0.942000,5.228
42,7,1.510134,0.946500,5.915
42,8,1.507532,0.942100,6.171
42,9,1.506233,0.949100,5.841
42,10,1.504572,0.949300,5.402
42,11,1.503826,0.947700,5.466
42,12,1.501984,0.952200,5.676
42,13,1.501050,0.950800,5.868
42,14,1.500689,0.951400,6.017
42,15,1.498545,0.951700,5.549
42,16,1.497050,0.955000,5.387
42,17,1.496878,0.953600,5.582
42,18,1.496271,0.955000,5.934
42,19,1.494770,0.956300,5.998
42,20,1.492944,0.958900,5.585
42,21,1.493295,0.952000,5.456
42,22,1.494614,0.958500,5.342
42,23,1.493767,0.957900,6.047
42,24,1.493854,0.959900,6.046
42,25,1.492696,0.958500,5.630
123,1,1.595356,0.923100,5.614
123,2,1.530911,0.936900,5.342
123,3,1.521341,0.936300,5.815
123,4,1.515819,0.938100,6.060
123,5,1.511729,0.947300,5.778
123,6,1.507938,0.947700,5.446
123,7,1.504028,0.952200,5.455
123,8,1.502259,0.953000,5.810
123,9,1.501117,0.952700,5.928
123,10,1.498937,0.953100,5.955
123,11,1.496897,0.957600,5.551
123,12,1.495744,0.956600,5.501
123,13,1.494878,0.957900,5.542
123,14,1.494474,0.958000,5.860
123,15,1.492943,0.961100,6.040
123,16,1.492570,0.959900,5.543
123,17,1.492090,0.961500,5.523
123,18,1.491194,0.961900,5.420
123,19,1.491406,0.964100,5.844
123,20,1.488832,0.963800,6.111
123,21,1.489800,0.961900,5.640
123,22,1.489232,0.963400,5.446
123,23,1.488107,0.963900,5.395
123,24,1.487689,0.960900,5.823
123,25,1.487557,0.965900,5.971
7,1,1.618974,0.916300,5.983
7,2,1.536174,0.927900,5.447
7,3,1.527557,0.931900,5.517
7,4,1.521338,0.941200,5.761
7,5,1.514100,0.940700,5.911
7,6,1.511495,0.946200,6.013
7,7,1.509439,0.947300,5.611
7,8,1.506899,0.947100,5.608
7,9,1.503877,0.953000,5.620
7,10,1.501705,0.950700,5.798
7,11,1.500752,0.954100,6.198
7,12,1.498500,0.953300,5.686
7,13,1.498266,0.953300,5.565
7,14,1.496575,0.953400,5.481
7,15,1.496760,0.954800,5.990
7,16,1.496608,0.956100,6.043
7,17,1.496376,0.956200,5.772
7,18,1.494540,0.957500,5.529
7,19,1.493489,0.958400,5.345
7,20,1.491613,0.957500,5.782
7,21,1.490648,0.955300,5.989
7,22,1.492834,0.961300,5.802
7,23,1.490129,0.959600,5.450
7,24,1.489549,0.960100,5.442
7,25,1.491584,0.959700,5.766
