seed,epoch,loss,test_acc,epoch_time
42,1,2.229869,0.186500,4.796
42,2,2.226217,0.194500,4.934
42,3,2.225462,0.189100,4.931
42,4,2.224475,0.202700,4.863
42,5,2.224314,0.210200,4.691
42,6,2.224342,0.219100,4.684
42,7,2.224472,0.194900,4.718
42,8,2.224251,0.193300,5.217
42,9,2.223958,0.198400,5.136
42,10,2.223513,0.202700,4.891
42,11,2.223175,0.203600,4.864
42,12,2.223057,0.201400,4.637
42,13,2.222984,0.202100,4.570
42,14,2.223168,0.197900,4.902
42,15,2.222655,0.198200,5.074
42,16,2.222359,0.199400,4.890
42,17,2.222856,0.196600,4.691
42,18,2.223091,0.195600,4.669
42,19,2.216345,0.196100,4.632
42,20,2.156737,0.205200,4.999
42,21,2.152094,0.209200,4.861
42,22,2.150014,0.217200,4.930
42,23,2.148963,0.226400,4.644
42,24,2.148760,0.228800,4.614
42,25,2.147666,0.225300,4.437
123,1,1.939862,0.491500,4.894
123,2,1.918661,0.497700,4.849
123,3,1.909141,0.498800,4.936
123,4,1.907663,0.502000,4.700
123,5,1.904265,0.508100,4.709
123,6,1.902244,0.512300,4.648
123,7,1.902216,0.512700,4.845
123,8,1.899033,0.527100,4.916
123,9,1.897207,0.527900,4.999
123,10,1.896183,0.526100,4.841
123,11,1.895933,0.530500,4.697
123,12,1.895406,0.533500,4.633
123,13,1.895583,0.520200,4.833
123,14,1.894408,0.528200,6.060
123,15,1.894225,0.553100,4.965
123,16,1.895234,0.540900,4.781
123,17,1.894991,0.543200,4.554
123,18,1.892512,0.541700,4.655
123,19,1.893299,0.554700,4.699
123,20,1.892816,0.545300,5.044
123,21,1.891718,0.564600,4.928
123,22,1.891578,0.549800,4.949
123,23,1.892084,0.554200,4.729
123,24,1.890142,0.561500,4.736
123,25,1.890417,0.560200,4.670
7,1,2.107435,0.304600,4.877
7,2,2.086697,0.294700,5.055
7,3,2.081027,0.294600,5.193
7,4,2.080844,0.299400,4.662
7,5,2.080728,0.297700,4.714
7,6,2.077965,0.297300,4.579
7,7,2.076020,0.351600,4.889
7,8,2.075580,0.309700,4.958
7,9,2.074990,0.313900,4.872
7,10,2.076089,0.328500,4.801
7,11,2.074186,0.374800,4.700
7,12,2.074412,0.343300,4.730
7,13,2.072715,0.363000,4.836
7,14,2.071508,0.373600,4.908
7,15,2.070512,0.349100,4.939
7,16,2.070721,0.363500,4.808
7,17,2.071222,0.355600,4.652
7,18,2.070283,0.374400,4.676
7,19,2.069620,0.365800,4.694
7,20,2.070892,0.372600,5.009
7,21,2.069308,0.402800,4.933
7,22,2.068335,0.408700,4.926
7,23,2.068418,0.389100,4.696
7,24,2.067875,0.407200,4.693
7,25,2.069122,0.371000,4.704
