seed,epoch,loss,test_acc,epoch_time
42,1,2.302514,0.121100,7.838
42,2,2.302585,0.122200,7.716
42,3,2.302585,0.119800,7.715
42,4,2.302585,0.121500,7.802
42,5,2.302585,0.118700,7.799
42,6,2.302585,0.119600,7.737
42,7,2.302585,0.119000,7.889
42,8,2.302585,0.118900,7.957
42,9,2.302585,0.120500,7.753
42,10,2.302585,0.119300,7.746
42,11,2.302585,0.118600,7.763
42,12,2.302585,0.121300,7.788
42,13,2.302585,0.119800,7.782
42,14,2.302585,0.121700,7.670
42,15,2.302585,0.120100,7.764
42,16,2.302585,0.118500,7.875
42,17,2.302585,0.120700,7.736
42,18,2.302585,0.120000,7.683
42,19,2.302585,0.118400,7.806
42,20,2.302585,0.120400,7.866
42,21,2.302585,0.121100,7.733
42,22,2.302585,0.121600,7.635
42,23,2.302585,0.120300,7.859
42,24,2.302585,0.120200,7.829
42,25,2.302585,0.120600,7.718
123,1,2.225929,0.143900,7.687
123,2,2.221105,0.124400,7.744
123,3,2.222214,0.124700,5.864
123,4,2.221576,0.125200,5.351
123,5,2.219397,0.127200,5.467
123,6,2.217949,0.123500,5.234
123,7,2.217962,0.122500,5.738
123,8,2.216415,0.136100,5.618
123,9,2.216137,0.134600,5.540
123,10,2.217731,0.162800,5.167
123,11,2.216263,0.154500,5.216
123,12,2.216117,0.181300,5.415
123,13,2.216461,0.148800,5.653
123,14,2.218565,0.199800,5.581
123,15,2.217237,0.161200,5.266
123,16,2.218349,0.166400,5.313
123,17,2.217391,0.186200,5.171
123,18,2.219453,0.194600,5.669
123,19,2.218818,0.179600,5.834
123,20,2.216640,0.191800,5.595
123,21,2.216184,0.206300,5.291
123,22,2.218987,0.188400,5.322
123,23,2.218613,0.191000,5.552
123,24,2.217919,0.200700,5.603
123,25,2.219492,0.189700,5.680
7,1,2.301499,0.114000,5.419
7,2,2.302585,0.114000,5.368
7,3,2.302585,0.114000,5.184
7,4,2.302585,0.113900,5.592
7,5,2.302585,0.114000,5.655
7,6,2.302585,0.114000,5.574
7,7,2.302585,0.114100,5.220
7,8,2.302585,0.114000,5.304
7,9,2.302585,0.114100,5.364
7,10,2.302585,0.113900,5.488
7,11,2.302585,0.114200,5.663
7,12,2.302585,0.114000,5.466
7,13,2.302585,0.114000,5.436
7,14,2.302585,0.114000,5.086
7,15,2.302585,0.113900,5.655
7,16,2.302585,0.114100,6.156
7,17,2.302585,0.113900,5.715
7,18,2.302585,0.114000,5.396
7,19,2.302585,0.114000,5.280
7,20,2.302585,0.114100,5.596
7,21,2.302585,0.114000,5.555
7,22,2.302585,0.114000,5.706
7,23,2.302585,0.114100,5.364
7,24,2.302585,0.114000,5.324
7,25,2.302585,0.113900,5.273
