seed,epoch,loss,test_acc,epoch_time
42,1,2.413768,0.103200,8.323
42,2,2.417724,0.103400,8.395
42,3,2.419763,0.103100,7.638
42,4,2.420700,0.099100,7.774
42,5,2.420778,0.093300,8.296
42,6,2.437265,0.083100,7.933
42,7,2.437470,0.086400,7.723
42,8,2.438819,0.072000,7.773
42,9,2.435069,0.042900,8.250
42,10,2.433554,0.052500,7.818
42,11,2.433550,0.072400,7.624
42,12,2.433539,0.079100,8.008
42,13,2.433583,0.062300,8.329
42,14,2.434235,0.097900,7.667
42,15,2.433526,0.098100,7.501
42,16,2.433628,0.098900,8.156
42,17,2.433415,0.098000,8.263
42,18,2.433396,0.098100,7.485
42,19,2.433421,0.098100,7.579
42,20,2.433201,0.099800,8.141
42,21,2.433092,0.094100,8.081
42,22,2.433059,0.109600,7.760
42,23,2.433120,0.102900,7.740
42,24,2.433092,0.106000,8.304
42,25,2.433098,0.106300,7.992
123,1,2.497992,0.101000,7.708
123,2,2.507741,0.101000,7.812
123,3,2.509466,0.101000,8.263
123,4,2.516127,0.101000,7.873
123,5,2.500651,0.101100,7.450
123,6,2.501943,0.104900,7.848
123,7,2.486843,0.101400,8.260
123,8,2.489460,0.114200,7.834
123,9,2.500717,0.127000,7.670
123,10,2.477253,0.109900,8.411
123,11,2.471175,0.107900,8.753
123,12,2.450786,0.103600,7.651
123,13,2.440356,0.106400,7.819
123,14,2.435168,0.101600,8.280
123,15,2.434892,0.101300,9.584
123,16,2.435211,0.101100,9.727
123,17,2.434544,0.100500,10.107
123,18,2.433720,0.077800,10.006
123,19,2.431589,0.087700,9.778
123,20,2.428983,0.080800,10.149
123,21,2.430007,0.097500,9.968
123,22,2.430031,0.097600,9.744
123,23,2.431001,0.097600,10.138
123,24,2.432577,0.096600,10.042
123,25,2.432911,0.096000,9.701
7,1,2.414089,0.103700,10.037
7,2,2.416797,0.103200,10.085
7,3,2.416918,0.103200,9.786
7,4,2.417093,0.103200,10.042
7,5,2.417056,0.103200,9.967
7,6,2.417067,0.103300,9.684
7,7,2.417003,0.103300,10.006
7,8,2.416947,0.103200,9.969
7,9,2.416895,0.103300,9.723
7,10,2.416877,0.103200,10.538
7,11,2.416861,0.103200,10.069
7,12,2.416742,0.103200,9.760
7,13,2.416771,0.103200,10.069
7,14,2.416772,0.103200,10.077
7,15,2.416692,0.103200,9.701
7,16,2.416634,0.103200,10.076
7,17,2.416572,0.103200,9.959
7,18,2.416539,0.103200,9.726
7,19,2.416422,0.103300,10.041
7,20,2.416371,0.103400,10.034
7,21,2.416221,0.103400,9.739
7,22,2.416182,0.104400,10.057
7,23,2.416072,0.108200,10.016
7,24,2.415985,0.103200,9.779
7,25,2.415970,0.103500,10.039
