seed,epoch,loss,test_acc,epoch_time
42,1,2.334692,0.129600,5.981
42,2,2.304204,0.195900,5.477
42,3,2.241348,0.219500,5.344
42,4,1.941649,0.288500,5.697
42,5,1.641069,0.599200,5.845
42,6,1.195012,0.744200,6.062
42,7,1.034908,0.794300,5.449
42,8,0.935573,0.809000,5.630
42,9,0.844629,0.812400,5.329
42,10,0.853068,0.818000,5.895
42,11,0.795834,0.820900,5.956
42,12,0.823402,0.812700,5.798
42,13,0.815429,0.833700,5.614
42,14,0.780071,0.825200,5.345
42,15,0.737475,0.830900,5.870
42,16,0.739330,0.865900,6.172
42,17,0.662263,0.873300,5.717
42,18,0.661693,0.871700,5.392
42,19,0.607698,0.888200,5.482
42,20,0.564522,0.888900,5.911
42,21,0.598281,0.881300,5.774
42,22,0.529185,0.905200,6.011
42,23,0.539722,0.907700,5.363
42,24,0.547794,0.912000,5.447
42,25,0.473548,0.908900,5.546
123,1,1.986337,0.699500,6.080
123,2,1.138234,0.879800,6.034
123,3,0.873920,0.880800,5.435
123,4,0.768674,0.910900,5.412
123,5,0.718404,0.909500,5.459
123,6,0.697468,0.893800,5.921
123,7,0.645931,0.919200,5.837
123,8,0.602048,0.925100,5.640
123,9,0.573885,0.930900,5.432
123,10,0.573252,0.922500,5.231
123,11,0.542357,0.934600,5.682
123,12,0.509292,0.931300,5.986
123,13,0.509617,0.929600,5.912
123,14,0.490559,0.929200,5.365
123,15,0.510477,0.935800,5.371
123,16,0.471064,0.936800,5.772
123,17,0.449551,0.936400,5.774
123,18,0.426322,0.935200,6.259
123,19,0.410390,0.940700,5.676
123,20,0.383136,0.944300,5.584
123,21,0.383556,0.942000,5.543
123,22,0.372977,0.943000,5.934
123,23,0.344384,0.937500,5.919
123,24,0.331885,0.942300,5.724
123,25,0.343116,0.941600,5.563
7,1,2.213918,0.344000,5.531
7,2,1.791225,0.575200,5.856
7,3,1.334064,0.829200,5.998
7,4,0.980497,0.865800,5.954
7,5,0.829733,0.879000,5.775
7,6,0.739950,0.877600,5.402
7,7,0.710253,0.894200,5.807
7,8,0.676727,0.895500,5.923
7,9,0.625667,0.892300,5.735
7,10,0.663183,0.909200,5.439
7,11,0.614962,0.908900,5.442
7,12,0.544490,0.915000,5.744
7,13,0.536892,0.919400,5.848
7,14,0.511264,0.920400,6.097
7,15,0.476038,0.928500,5.468
7,16,0.506753,0.925400,5.419
7,17,0.468879,0.933400,5.493
7,18,0.465958,0.934400,5.830
7,19,0.436299,0.926000,5.950
7,20,0.449713,0.928400,5.726
7,21,0.431197,0.942000,5.581
7,22,0.391175,0.941700,5.536
7,23,0.396156,0.937300,5.999
7,24,0.428088,0.940300,5.825
7,25,0.420960,0.944900,5.637
