seed,epoch,loss,test_acc,epoch_time
42,1,0.062870,0.863200,4.786
42,2,0.024780,0.878300,4.697
42,3,0.022189,0.893700,4.943
42,4,0.021733,0.900400,4.817
42,5,0.018617,0.906800,4.966
42,6,0.019063,0.894800,4.914
42,7,0.018276,0.907600,4.662
42,8,0.017925,0.908100,4.693
42,9,0.017551,0.912100,4.796
42,10,0.016624,0.917000,5.012
42,11,0.015986,0.918000,4.955
42,12,0.015222,0.916400,4.929
42,13,0.016523,0.902800,4.772
42,14,0.015855,0.920700,4.784
42,15,0.014365,0.923400,4.686
42,16,0.013939,0.925300,4.997
42,17,0.013641,0.925300,5.034
42,18,0.013237,0.930300,4.868
42,19,0.013868,0.919200,4.750
42,20,0.013916,0.927200,4.548
42,21,0.012873,0.931900,4.839
42,22,0.012910,0.929900,4.785
42,23,0.013133,0.931700,4.919
42,24,0.012875,0.935100,4.870
42,25,0.013849,0.932900,4.850
123,1,0.055307,0.802200,4.681
123,2,0.027210,0.866800,4.520
123,3,0.024496,0.872400,4.838
123,4,0.021132,0.883300,4.965
123,5,0.020270,0.889900,4.888
123,6,0.019418,0.901300,4.924
123,7,0.018134,0.902700,4.644
123,8,0.017299,0.906700,4.621
123,9,0.019288,0.893800,4.697
123,10,0.017559,0.884400,5.016
123,11,0.017142,0.904400,5.011
123,12,0.017119,0.905200,4.886
123,13,0.016202,0.917500,4.611
123,14,0.016391,0.915500,4.811
123,15,0.015531,0.917600,4.602
123,16,0.015846,0.918000,4.977
123,17,0.015367,0.921200,4.854
123,18,0.014787,0.925100,4.942
123,19,0.014316,0.920000,4.788
123,20,0.014203,0.924200,4.814
123,21,0.014596,0.920100,4.987
123,22,0.015026,0.925300,4.859
123,23,0.015212,0.923500,4.886
123,24,0.013884,0.929000,4.971
123,25,0.014606,0.927200,4.835
7,1,0.058131,0.796000,4.603
7,2,0.026009,0.894100,4.765
7,3,0.020962,0.898700,4.735
7,4,0.020349,0.890500,4.924
7,5,0.018427,0.899300,4.781
7,6,0.018538,0.899800,4.843
7,7,0.017108,0.904600,4.662
7,8,0.017118,0.900800,4.590
7,9,0.016246,0.906400,4.824
7,10,0.016861,0.871400,5.038
7,11,0.019662,0.901300,4.881
7,12,0.016694,0.904300,4.760
7,13,0.016254,0.906500,4.602
7,14,0.015085,0.910200,4.558
7,15,0.014928,0.917000,4.990
7,16,0.014349,0.911800,4.975
7,17,0.015261,0.916400,5.114
7,18,0.014294,0.916100,4.882
7,19,0.013864,0.923700,4.940
7,20,0.014213,0.921300,4.557
7,21,0.013029,0.925500,4.428
7,22,0.014490,0.926500,4.791
7,23,0.013162,0.929700,4.767
7,24,0.012539,0.927800,4.981
7,25,0.012275,0.929800,4.711
