seed,epoch,loss,test_acc,epoch_time
42,1,2.258326,0.200200,5.877
42,2,2.188057,0.227500,5.822
42,3,2.138870,0.256500,5.556
42,4,2.100222,0.285000,6.117
42,5,2.071114,0.297700,5.920
42,6,2.049604,0.305700,5.856
42,7,2.033832,0.329800,5.582
42,8,2.019129,0.341300,5.565
42,9,2.007786,0.355600,5.958
42,10,1.998337,0.358600,6.218
42,11,1.988448,0.382600,5.851
42,12,1.979733,0.388400,5.662
42,13,1.973932,0.401500,5.580
42,14,1.968700,0.396400,5.935
42,15,1.961478,0.408500,6.185
42,16,1.957867,0.411100,5.997
42,17,1.951682,0.421200,5.561
42,18,1.947837,0.425600,5.607
42,19,1.944293,0.435200,5.911
42,20,1.939037,0.439700,6.056
42,21,1.936208,0.447100,6.026
42,22,1.932939,0.446200,5.733
42,23,1.930601,0.445400,5.540
42,24,1.926937,0.447900,5.833
42,25,1.926049,0.459100,6.064
123,1,2.259685,0.205900,6.114
123,2,2.187661,0.242700,5.687
123,3,2.132568,0.266700,6.357
123,4,2.092834,0.283400,5.791
123,5,2.065604,0.306100,5.846
123,6,2.045741,0.317600,5.959
123,7,2.028641,0.329000,5.737
123,8,2.015562,0.354400,5.647
123,9,2.004289,0.354900,5.851
123,10,1.994950,0.362500,6.719
123,11,1.986238,0.382700,6.333
123,12,1.978004,0.387200,5.642
123,13,1.971535,0.381900,5.563
123,14,1.964632,0.402500,5.760
123,15,1.959133,0.404800,6.161
123,16,1.954652,0.426600,6.119
123,17,1.949378,0.428400,5.603
123,18,1.945222,0.438800,5.670
123,19,1.940030,0.432100,5.630
123,20,1.936410,0.437600,5.912
123,21,1.932792,0.453100,6.787
123,22,1.929284,0.456300,6.006
123,23,1.926099,0.445900,5.590
123,24,1.923569,0.459800,5.611
123,25,1.921672,0.464700,6.003
7,1,2.263259,0.194800,6.025
7,2,2.188564,0.228600,5.887
7,3,2.133769,0.248900,5.622
7,4,2.094885,0.265300,5.648
7,5,2.066685,0.299000,6.024
7,6,2.046667,0.302300,6.001
7,7,2.031326,0.332800,5.978
7,8,2.017305,0.330700,5.774
7,9,2.004781,0.362600,5.528
7,10,1.994261,0.370500,6.038
7,11,1.986279,0.374800,6.114
7,12,1.975940,0.389300,5.987
7,13,1.970343,0.392500,5.777
7,14,1.964986,0.399800,5.637
7,15,1.958932,0.407500,5.932
7,16,1.954587,0.415500,6.128
7,17,1.949879,0.433200,5.888
7,18,1.946165,0.430600,5.639
7,19,1.942481,0.426100,5.480
7,20,1.939114,0.443100,6.017
7,21,1.934879,0.444200,6.006
7,22,1.932984,0.440500,5.955
7,23,1.928745,0.447100,5.547
7,24,1.926643,0.449300,5.692
7,25,1.923284,0.449100,5.862
