seed,epoch,loss,test_acc,epoch_time
42,1,1.599352,0.727600,5.913
42,2,1.537729,0.741700,6.052
42,3,1.528580,0.741800,5.730
42,4,1.523515,0.748400,5.614
42,5,1.520191,0.751500,5.419
42,6,1.517441,0.754500,5.948
42,7,1.514884,0.758000,5.970
42,8,1.512101,0.760200,5.830
42,9,1.509905,0.760800,5.557
42,10,1.508426,0.762200,5.593
42,11,1.506736,0.763000,5.906
42,12,1.505100,0.765300,5.976
42,13,1.503673,0.766000,6.450
42,14,1.503567,0.760700,5.523
42,15,1.502719,0.767300,5.521
42,16,1.502237,0.766200,5.763
42,17,1.501432,0.767800,5.924
42,18,1.500027,0.766800,5.926
42,19,1.498740,0.769500,5.632
42,20,1.498632,0.767300,5.472
42,21,1.497476,0.766900,5.616
42,22,1.496717,0.771200,5.883
42,23,1.495902,0.768400,5.867
42,24,1.495732,0.770500,5.644
42,25,1.494760,0.769900,5.577
123,1,1.602134,0.787900,5.569
123,2,1.535735,0.811000,5.914
123,3,1.525441,0.926200,5.971
123,4,1.517256,0.930500,5.718
123,5,1.513182,0.926100,5.507
123,6,1.510226,0.937800,5.597
123,7,1.508286,0.933600,5.947
123,8,1.505780,0.937300,6.251
123,9,1.503932,0.940900,5.883
123,10,1.502300,0.940200,5.501
123,11,1.501555,0.943800,5.384
123,12,1.499838,0.942100,5.798
123,13,1.498460,0.946200,5.943
123,14,1.496694,0.946700,5.927
123,15,1.495782,0.947800,5.575
123,16,1.495585,0.944300,5.571
123,17,1.494462,0.951300,5.671
123,18,1.493622,0.949900,5.907
123,19,1.492518,0.954000,6.064
123,20,1.492336,0.925700,5.646
123,21,1.491808,0.951600,5.500
123,22,1.490733,0.955300,5.746
123,23,1.490349,0.952000,5.853
123,24,1.490038,0.952400,6.002
123,25,1.489780,0.953700,5.671
7,1,1.594065,0.891000,5.593
7,2,1.536485,0.904100,5.365
7,3,1.528009,0.913300,5.946
7,4,1.522272,0.918000,6.034
7,5,1.518028,0.916700,6.006
7,6,1.514816,0.924100,5.476
7,7,1.511786,0.925500,5.705
7,8,1.510024,0.929700,6.132
7,9,1.508146,0.930800,5.925
7,10,1.507114,0.933500,5.732
7,11,1.505251,0.931000,5.464
7,12,1.503228,0.936400,5.381
7,13,1.502170,0.940200,5.904
7,14,1.500427,0.941700,6.077
7,15,1.498845,0.946000,5.907
7,16,1.497910,0.940600,5.616
7,17,1.497023,0.941000,5.491
7,18,1.496275,0.943100,5.630
7,19,1.495492,0.944200,5.876
7,20,1.494594,0.946600,6.043
7,21,1.495279,0.942100,5.563
7,22,1.494218,0.944100,5.563
7,23,1.493269,0.948900,5.417
7,24,1.491982,0.949500,5.849
7,25,1.491325,0.949900,5.958
