seed,epoch,loss,test_acc,epoch_time
42,1,1.620075,0.914800,5.684
42,2,1.541636,0.927600,5.456
42,3,1.530105,0.932000,5.908
42,4,1.522273,0.938900,6.165
42,5,1.517165,0.933700,5.920
42,6,1.514989,0.942000,5.657
42,7,1.510134,0.946500,5.569
42,8,1.507532,0.942100,5.861
42,9,1.506233,0.949100,6.054
42,10,1.504572,0.949300,5.743
42,11,1.503826,0.947700,5.475
42,12,1.501984,0.952200,5.486
42,13,1.501050,0.950800,5.612
42,14,1.500689,0.951400,5.778
42,15,1.498545,0.951700,6.046
42,16,1.497050,0.955000,5.623
42,17,1.496878,0.953600,5.439
42,18,1.496271,0.955000,5.589
42,19,1.494770,0.956300,6.559
42,20,1.492944,0.958900,6.083
42,21,1.493295,0.952000,5.696
42,22,1.494614,0.958500,5.534
42,23,1.493767,0.957900,5.543
42,24,1.493854,0.959900,6.235
42,25,1.492696,0.958500,5.887
123,1,1.595356,0.923100,5.660
123,2,1.530911,0.936900,5.620
123,3,1.521341,0.936300,5.561
123,4,1.515819,0.938100,6.022
123,5,1.511729,0.947300,5.991
123,6,1.507938,0.947700,5.699
123,7,1.504028,0.952200,5.661
123,8,1.502259,0.953000,5.429
123,9,1.501117,0.952700,5.947
123,10,1.498937,0.953100,5.940
123,11,1.496897,0.957600,5.734
123,12,1.495744,0.956600,5.582
123,13,1.494878,0.957900,5.513
123,14,1.494474,0.958000,5.658
123,15,1.492943,0.961100,6.120
123,16,1.492570,0.959900,6.488
123,17,1.492090,0.961500,5.586
123,18,1.491194,0.961900,5.490
123,19,1.491406,0.964100,5.738
123,20,1.488832,0.963800,5.896
123,21,1.489800,0.961900,5.910
123,22,1.489232,0.963400,5.504
123,23,1.488107,0.963900,5.603
123,24,1.487689,0.960900,5.507
123,25,1.487557,0.965900,6.002
7,1,1.618974,0.916300,6.080
7,2,1.536174,0.927900,5.681
7,3,1.527557,0.931900,5.486
7,4,1.521338,0.941200,5.463
7,5,1.514100,0.940700,6.071
7,6,1.511495,0.946200,6.033
7,7,1.509439,0.947300,5.619
7,8,1.506899,0.947100,5.622
7,9,1.503877,0.953000,5.383
7,10,1.501705,0.950700,5.913
7,11,1.500752,0.954100,6.104
7,12,1.498500,0.953300,5.940
7,13,1.498266,0.953300,5.524
7,14,1.496575,0.953400,5.620
7,15,1.496760,0.954800,5.833
7,16,1.496608,0.956100,5.914
7,17,1.496376,0.956200,5.813
7,18,1.494540,0.957500,5.636
7,19,1.493489,0.958400,5.675
7,20,1.491613,0.957500,5.684
7,21,1.490648,0.955300,5.845
7,22,1.492834,0.961300,6.045
7,23,1.490129,0.959600,5.599
7,24,1.489549,0.960100,5.573
7,25,1.491584,0.959700,5.522
