seed,epoch,loss,test_acc,epoch_time
2024,1,1.629777,0.896600,6.562
2024,2,1.573433,0.906400,6.424
2024,3,1.561109,0.911100,6.856
2024,4,1.544871,0.917700,6.969
2024,5,1.540118,0.925000,6.778
2024,6,1.538625,0.927000,6.477
2024,7,1.533043,0.927100,6.910
2024,8,1.526932,0.922800,7.152
2024,9,1.527371,0.925600,6.936
2024,10,1.528199,0.929600,6.626
2024,11,1.524301,0.933400,6.662
2024,12,1.524691,0.932800,7.070
2024,13,1.522565,0.933400,7.195
2024,14,1.518781,0.939400,6.541
2024,15,1.517831,0.936300,6.566
2024,16,1.516148,0.942800,7.103
2024,17,1.514152,0.944400,7.126
2024,18,1.516736,0.941700,6.796
2024,19,1.515553,0.944700,6.596
2024,20,1.510981,0.920800,6.893
2024,21,1.514773,0.944800,7.177
2024,22,1.509367,0.946100,6.965
2024,23,1.507808,0.950000,6.649
2024,24,1.518941,0.902800,6.572
2024,25,1.514697,0.939600,7.109
314,1,1.661004,0.869000,7.263
314,2,1.602310,0.894600,6.680
314,3,1.603135,0.868700,6.477
314,4,1.590099,0.890600,7.029
314,5,1.622078,0.573500,7.196
314,6,1.771804,0.706200,6.962
314,7,1.679761,0.778000,6.658
314,8,1.695668,0.718500,6.749
314,9,1.799596,0.646800,7.124
314,10,1.798774,0.680000,7.147
314,11,1.842321,0.643500,6.618
314,12,1.737123,0.690100,6.598
314,13,1.792721,0.660000,7.133
314,14,1.747032,0.725500,7.258
314,15,1.735624,0.727100,6.726
314,16,1.783191,0.571500,6.496
314,17,1.895373,0.552800,6.967
314,18,1.878182,0.584800,7.225
314,19,1.861034,0.652700,6.890
314,20,1.802068,0.698000,6.680
314,21,1.780248,0.539400,6.763
314,22,1.918969,0.606900,7.158
314,23,1.921353,0.701600,7.060
314,24,1.839997,0.698600,6.460
314,25,1.764195,0.729800,6.477
