seed,epoch,loss,test_acc,epoch_time
2024,1,2.081728,0.519800,6.207
2024,2,1.860574,0.588400,6.405
2024,3,1.882538,0.593500,6.678
2024,4,1.900651,0.553100,6.187
2024,5,1.884953,0.255600,6.160
2024,6,1.929302,0.516500,6.430
2024,7,1.832663,0.583800,6.674
2024,8,1.762870,0.724900,6.825
2024,9,1.722346,0.727400,6.253
2024,10,1.701737,0.762000,6.134
2024,11,1.688580,0.783700,6.585
2024,12,1.675100,0.749300,6.643
2024,13,1.706848,0.793900,6.437
2024,14,1.671982,0.796400,6.240
2024,15,1.659622,0.832700,6.211
2024,16,1.649640,0.828100,6.658
2024,17,1.637189,0.827900,6.745
2024,18,1.634026,0.800600,6.211
2024,19,1.671970,0.833900,6.134
2024,20,1.629267,0.843300,6.459
2024,21,1.620565,0.853100,6.700
2024,22,1.627998,0.801400,6.633
2024,23,1.623364,0.841200,6.208
2024,24,1.617023,0.865900,6.244
2024,25,1.612287,0.872300,6.682
314,1,2.003197,0.573900,6.673
314,2,1.896246,0.604900,6.438
314,3,1.829184,0.627200,6.198
314,4,1.761776,0.450000,6.352
314,5,1.818829,0.393900,6.652
314,6,1.904674,0.162600,6.871
314,7,1.909017,0.422000,6.284
314,8,1.832167,0.519300,6.199
314,9,1.782061,0.683100,6.493
314,10,1.760671,0.637800,6.707
314,11,1.746029,0.684600,6.544
314,12,1.738228,0.703900,6.277
314,13,1.716103,0.741700,6.209
314,14,1.688518,0.776000,6.608
314,15,1.743313,0.758300,6.747
314,16,1.711955,0.773600,6.343
314,17,1.710209,0.783200,6.196
314,18,1.824815,0.635900,6.251
314,19,1.883837,0.215800,6.585
314,20,1.979146,0.294400,6.729
314,21,2.033144,0.297700,6.196
314,22,2.008135,0.369700,6.076
314,23,1.996473,0.351700,6.454
314,24,1.973560,0.381700,6.650
314,25,1.994741,0.483700,6.438
