seed,epoch,loss,test_acc,epoch_time
2024,1,2.019738,0.532800,6.936
2024,2,1.857974,0.652200,7.672
2024,3,1.760686,0.564500,7.755
2024,4,1.686567,0.803100,7.269
2024,5,1.657747,0.813000,6.996
2024,6,1.627366,0.882100,7.618
2024,7,1.574571,0.901000,7.795
2024,8,1.560645,0.908100,7.241
2024,9,1.551607,0.915800,7.023
2024,10,1.545996,0.920300,7.529
2024,11,1.542567,0.924300,7.811
2024,12,1.545682,0.912500,7.275
2024,13,1.538096,0.925300,6.993
2024,14,1.533391,0.936000,7.484
2024,15,1.530593,0.937100,7.765
2024,16,1.527184,0.936400,7.233
2024,17,1.522744,0.934400,7.079
2024,18,1.521464,0.939000,7.363
2024,19,1.520575,0.938900,7.780
2024,20,1.522970,0.933100,7.957
2024,21,1.524653,0.934100,7.121
2024,22,1.528055,0.935100,7.427
2024,23,1.529634,0.927400,7.933
2024,24,1.536541,0.927300,7.530
2024,25,1.542456,0.921700,7.225
314,1,2.204727,0.375100,7.459
314,2,2.167846,0.206800,7.760
314,3,2.121541,0.494600,7.407
314,4,1.934153,0.543500,7.154
314,5,1.945486,0.474900,7.490
314,6,1.981297,0.463700,7.674
314,7,1.957568,0.174100,7.440
314,8,1.872885,0.603400,7.115
314,9,1.889803,0.146100,7.340
314,10,1.922695,0.162900,7.791
314,11,1.883201,0.408100,7.431
314,12,1.836191,0.612700,7.132
314,13,1.878060,0.491600,7.328
314,14,1.965750,0.474200,7.759
314,15,1.925202,0.544900,7.406
314,16,1.863222,0.584800,7.159
314,17,1.908594,0.542400,7.121
314,18,1.845911,0.610300,7.471
314,19,1.818238,0.624400,7.428
314,20,1.807006,0.646200,7.154
314,21,1.759506,0.672100,7.141
314,22,1.738905,0.794300,7.711
314,23,1.672667,0.839600,7.615
314,24,1.666417,0.729800,7.349
314,25,1.625744,0.860800,7.109
