seed,epoch,loss,test_acc,epoch_time
2024,1,2.235617,0.126400,7.113
2024,2,2.260882,0.178100,6.728
2024,3,2.187932,0.331200,6.528
2024,4,2.121361,0.320200,6.675
2024,5,2.098816,0.341800,7.132
2024,6,2.072989,0.370600,7.050
2024,7,2.070776,0.345000,6.637
2024,8,2.090211,0.229800,6.640
2024,9,2.023160,0.447400,7.174
2024,10,2.104959,0.263400,7.356
2024,11,2.129621,0.312400,6.610
2024,12,2.099726,0.361600,6.548
2024,13,2.208465,0.201400,7.224
2024,14,2.180505,0.232500,7.238
2024,15,2.206938,0.206000,6.857
2024,16,2.201156,0.214500,6.595
2024,17,2.191573,0.225900,6.826
2024,18,2.129914,0.325600,7.165
2024,19,2.104947,0.301700,7.019
2024,20,2.073407,0.496000,6.607
2024,21,2.012380,0.505800,6.628
2024,22,2.008790,0.543800,7.221
2024,23,1.994247,0.509200,7.301
2024,24,1.996943,0.489400,6.656
2024,25,2.008190,0.471900,6.584
314,1,2.319930,0.261000,7.070
314,2,2.189823,0.287900,7.205
314,3,2.254283,0.297900,7.099
314,4,2.209241,0.291700,6.646
314,5,2.150651,0.318500,6.822
314,6,2.092947,0.405600,7.208
314,7,2.045108,0.347300,7.097
314,8,2.051182,0.452000,6.697
314,9,2.026222,0.474800,6.657
314,10,2.011059,0.485700,7.136
314,11,2.043719,0.395300,7.296
314,12,2.003608,0.516900,6.689
314,13,1.953849,0.535600,6.528
314,14,2.007096,0.479100,7.160
314,15,2.031213,0.419000,7.157
314,16,1.993469,0.504200,6.903
314,17,1.985659,0.507300,6.677
314,18,2.032462,0.404000,6.776
314,19,2.054644,0.433400,7.286
314,20,2.030198,0.502100,7.060
314,21,1.991219,0.535200,6.718
314,22,1.953010,0.556400,6.718
314,23,1.966366,0.546100,7.080
314,24,1.939163,0.601700,7.102
314,25,1.935096,0.371300,6.516
