seed,epoch,loss,test_acc,epoch_time
2024,1,1.894347,0.646200,6.190
2024,2,1.774958,0.668800,6.239
2024,3,1.722388,0.824100,6.142
2024,4,1.629955,0.830700,5.866
2024,5,1.621153,0.828400,5.722
2024,6,1.590030,0.911700,6.307
2024,7,1.548620,0.920100,6.349
2024,8,1.541692,0.919100,6.119
2024,9,1.535790,0.929400,6.021
2024,10,1.529845,0.927500,5.856
2024,11,1.530392,0.923800,6.280
2024,12,1.526113,0.925200,6.451
2024,13,1.524031,0.931400,6.224
2024,14,1.519471,0.934200,5.847
2024,15,1.519713,0.938600,5.895
2024,16,1.517547,0.934600,6.300
2024,17,1.517042,0.935100,6.462
2024,18,1.519089,0.939100,6.054
2024,19,1.517097,0.933300,5.952
2024,20,1.516332,0.935500,6.009
2024,21,1.515625,0.939700,6.379
2024,22,1.513961,0.939300,6.524
2024,23,1.514943,0.941400,5.983
2024,24,1.515197,0.934900,5.852
2024,25,1.515101,0.935800,6.058
314,1,1.726254,0.791300,6.376
314,2,1.642698,0.831200,6.420
314,3,1.623102,0.842900,5.736
314,4,1.601746,0.906400,5.839
314,5,1.558433,0.915000,6.194
314,6,1.543570,0.917500,6.305
314,7,1.541587,0.922200,6.377
314,8,1.536979,0.916700,5.797
314,9,1.534432,0.928700,5.936
314,10,1.533755,0.919600,6.190
314,11,1.530174,0.927600,6.336
314,12,1.526437,0.931100,6.323
314,13,1.523865,0.935000,5.978
314,14,1.524030,0.938700,5.735
314,15,1.521624,0.932600,6.343
314,16,1.519301,0.934100,6.423
314,17,1.523961,0.933600,6.369
314,18,1.520854,0.929600,5.881
314,19,1.519087,0.935100,5.857
314,20,1.519474,0.936200,6.343
314,21,1.513804,0.940400,6.528
314,22,1.514671,0.938400,6.218
314,23,1.515682,0.944400,5.923
314,24,1.514393,0.945300,5.884
314,25,1.512982,0.941400,6.328
