seed,epoch,loss,test_acc,epoch_time
2024,1,1.599665,0.921000,5.830
2024,2,1.534946,0.929100,5.990
2024,3,1.522801,0.935600,5.632
2024,4,1.516294,0.942300,5.558
2024,5,1.511860,0.947300,5.479
2024,6,1.510030,0.947500,5.894
2024,7,1.506980,0.950500,6.010
2024,8,1.504294,0.951900,5.725
2024,9,1.503508,0.952500,5.475
2024,10,1.503366,0.949300,5.625
2024,11,1.500286,0.950300,6.027
2024,12,1.499131,0.950700,5.984
2024,13,1.498330,0.954500,5.761
2024,14,1.497152,0.955800,5.662
2024,15,1.495785,0.956100,5.571
2024,16,1.496540,0.956300,5.991
2024,17,1.493707,0.957300,6.064
2024,18,1.493840,0.959700,5.966
2024,19,1.491844,0.960900,5.449
2024,20,1.491230,0.960800,5.566
2024,21,1.490754,0.957300,5.855
2024,22,1.490453,0.961700,5.969
2024,23,1.489566,0.959200,6.141
2024,24,1.488307,0.961500,5.466
2024,25,1.487787,0.963000,5.452
314,1,1.586736,0.921700,5.663
314,2,1.532476,0.933200,5.948
314,3,1.523510,0.938200,6.019
314,4,1.516191,0.942700,5.685
314,5,1.511738,0.944300,5.537
314,6,1.509252,0.947400,5.481
314,7,1.507159,0.949500,6.002
314,8,1.503254,0.951300,6.199
314,9,1.502112,0.954700,5.750
314,10,1.498784,0.955900,5.584
314,11,1.498335,0.956300,5.504
314,12,1.498243,0.956500,5.960
314,13,1.497521,0.956800,6.020
314,14,1.496951,0.957900,5.837
314,15,1.497000,0.955100,5.550
314,16,1.495561,0.959300,5.509
314,17,1.493444,0.959000,5.814
314,18,1.492375,0.959400,5.970
314,19,1.491466,0.961100,5.966
314,20,1.490079,0.961400,5.497
314,21,1.491008,0.962400,5.509
314,22,1.489990,0.963500,5.815
314,23,1.489297,0.961900,5.882
314,24,1.489578,0.962600,5.906
314,25,1.488114,0.964300,5.575
