seed,epoch,loss,test_acc,epoch_time
2024,1,1.597655,0.924300,5.946
2024,2,1.532119,0.931200,6.152
2024,3,1.525262,0.931700,6.423
2024,4,1.520842,0.937800,6.470
2024,5,1.519089,0.941600,6.008
2024,6,1.519241,0.945100,5.878
2024,7,1.513149,0.945500,6.270
2024,8,1.511032,0.942300,6.486
2024,9,1.510572,0.946100,6.350
2024,10,1.511543,0.945000,6.014
2024,11,1.511430,0.941300,5.796
2024,12,1.510018,0.948300,6.424
2024,13,1.509154,0.945500,6.473
2024,14,1.507821,0.947300,6.213
2024,15,1.507341,0.949800,5.956
2024,16,1.505925,0.946400,5.963
2024,17,1.507286,0.949200,6.373
2024,18,1.506554,0.949500,6.396
2024,19,1.507200,0.949800,6.245
2024,20,1.504892,0.951100,5.829
2024,21,1.504209,0.946900,5.896
2024,22,1.504359,0.952200,6.351
2024,23,1.500899,0.954000,6.399
2024,24,1.500503,0.950400,6.175
2024,25,1.502422,0.947400,5.939
314,1,1.589295,0.924600,5.815
314,2,1.529825,0.938700,6.349
314,3,1.522729,0.935800,6.372
314,4,1.517404,0.940200,5.952
314,5,1.514072,0.940700,6.011
314,6,1.512885,0.945100,5.896
314,7,1.508557,0.947500,6.386
314,8,1.508543,0.946900,6.341
314,9,1.512561,0.945700,6.015
314,10,1.509736,0.950000,5.804
314,11,1.508943,0.952100,5.882
314,12,1.508106,0.947100,6.397
314,13,1.507749,0.950800,6.537
314,14,1.503210,0.953500,5.859
314,15,1.503538,0.952400,5.822
314,16,1.499588,0.954000,5.971
314,17,1.499975,0.955700,6.354
314,18,1.498551,0.954800,6.534
314,19,1.498868,0.949800,5.832
314,20,1.497847,0.959100,5.807
314,21,1.495806,0.956400,5.996
314,22,1.494928,0.956400,6.436
314,23,1.494913,0.955900,6.501
314,24,1.495344,0.959400,5.832
314,25,1.494415,0.953400,5.873
