seed,epoch,loss,test_acc,epoch_time
2024,1,1.592815,0.913000,6.547
2024,2,1.544173,0.919900,6.378
2024,3,1.539708,0.922800,6.678
2024,4,1.538779,0.919300,7.010
2024,5,1.530941,0.927300,6.695
2024,6,1.531705,0.911300,6.537
2024,7,1.530938,0.924600,6.540
2024,8,1.522180,0.938700,6.945
2024,9,1.522921,0.933800,7.159
2024,10,1.535276,0.908000,6.441
2024,11,1.527183,0.938100,6.391
2024,12,1.527208,0.926800,6.725
2024,13,1.527812,0.929000,7.144
2024,14,1.522040,0.937400,6.616
2024,15,1.519328,0.939900,6.565
2024,16,1.524340,0.944300,6.706
2024,17,1.523255,0.931100,6.967
2024,18,1.525763,0.932500,7.085
2024,19,1.520661,0.932000,6.455
2024,20,1.520564,0.930200,6.454
2024,21,1.516731,0.945100,6.967
2024,22,1.512807,0.945100,7.045
2024,23,1.509927,0.944000,6.584
2024,24,1.512194,0.943100,6.480
2024,25,1.511148,0.940500,6.702
314,1,1.586399,0.907600,7.061
314,2,1.537465,0.925400,6.923
314,3,1.540316,0.901200,6.502
314,4,1.542839,0.918100,6.472
314,5,1.535117,0.929500,6.944
314,6,1.533748,0.923300,7.067
314,7,1.525240,0.928400,6.791
314,8,1.527466,0.933900,6.443
314,9,1.527395,0.932900,6.716
314,10,1.524055,0.933400,7.060
314,11,1.522396,0.939200,6.788
314,12,1.520855,0.935600,6.622
314,13,1.518002,0.940100,6.452
314,14,1.522121,0.938500,7.064
314,15,1.516621,0.931700,7.147
314,16,1.517076,0.938700,6.534
314,17,1.512526,0.945500,6.391
314,18,1.511006,0.944100,6.875
314,19,1.511650,0.938300,7.019
314,20,1.511392,0.936700,6.886
314,21,1.511897,0.941400,6.448
314,22,1.513634,0.944400,6.533
314,23,1.513100,0.945000,7.092
314,24,1.507859,0.949000,6.941
314,25,1.509830,0.940700,6.365
