seed,epoch,loss,test_acc,epoch_time
2024,1,1.630710,0.905300,6.247
2024,2,1.531554,0.926300,6.437
2024,3,1.521212,0.939100,6.484
2024,4,1.512775,0.941400,6.102
2024,5,1.510394,0.946300,6.061
2024,6,1.507268,0.947000,6.585
2024,7,1.504039,0.946900,6.513
2024,8,1.502326,0.949800,6.428
2024,9,1.499469,0.953500,6.250
2024,10,1.499467,0.951800,6.057
2024,11,1.497992,0.951500,6.646
2024,12,1.496692,0.952900,6.584
2024,13,1.493540,0.957300,6.166
2024,14,1.492692,0.957500,6.074
2024,15,1.492361,0.958300,6.231
2024,16,1.493079,0.956800,6.580
2024,17,1.492094,0.958600,6.618
2024,18,1.490030,0.960600,6.127
2024,19,1.489380,0.962900,6.045
2024,20,1.489022,0.960900,6.364
2024,21,1.488758,0.961700,6.513
2024,22,1.489206,0.961600,6.397
2024,23,1.487228,0.963100,6.238
2024,24,1.485726,0.962400,6.060
2024,25,1.485861,0.964000,6.606
314,1,1.577637,0.925500,6.618
314,2,1.523749,0.932300,6.455
314,3,1.514981,0.943800,6.244
314,4,1.508415,0.946500,6.125
314,5,1.506306,0.947700,6.601
314,6,1.503841,0.952800,6.665
314,7,1.501025,0.954900,6.202
314,8,1.498566,0.953500,5.988
314,9,1.499013,0.955600,6.316
314,10,1.497145,0.956100,6.605
314,11,1.495867,0.956600,6.491
314,12,1.494793,0.957800,6.030
314,13,1.493380,0.957800,5.951
314,14,1.493708,0.958300,6.449
314,15,1.492028,0.961300,6.611
314,16,1.492701,0.961900,6.501
314,17,1.490890,0.960500,6.137
314,18,1.489153,0.959200,5.927
314,19,1.489280,0.963000,6.853
314,20,1.487945,0.961900,6.600
314,21,1.487189,0.963300,6.188
314,22,1.486319,0.961100,6.107
314,23,1.486063,0.963600,6.179
314,24,1.486182,0.964000,6.553
314,25,1.485215,0.965000,6.553
