seed,epoch,loss,test_acc,epoch_time
2024,1,1.599370,0.918100,5.357
2024,2,1.538836,0.928600,5.037
2024,3,1.527174,0.933800,4.937
2024,4,1.523082,0.936700,4.988
2024,5,1.520437,0.939800,5.250
2024,6,1.517326,0.942000,5.212
2024,7,1.514204,0.944000,5.388
2024,8,1.509091,0.946400,5.184
2024,9,1.507350,0.947700,5.022
2024,10,1.506072,0.950700,4.973
2024,11,1.505387,0.951200,5.281
2024,12,1.503857,0.952800,5.242
2024,13,1.501308,0.952300,5.315
2024,14,1.500571,0.953600,5.082
2024,15,1.499251,0.953300,4.969
2024,16,1.498120,0.957900,4.822
2024,17,1.496993,0.955000,5.260
2024,18,1.498567,0.957000,5.322
2024,19,1.496329,0.959000,5.300
2024,20,1.494667,0.957200,4.905
2024,21,1.494324,0.958800,5.007
2024,22,1.494531,0.958500,5.028
2024,23,1.493414,0.959600,5.307
2024,24,1.494037,0.960000,5.226
2024,25,1.492927,0.958000,5.320
314,1,1.595808,0.914500,5.011
314,2,1.538884,0.928300,5.022
314,3,1.527133,0.936500,4.911
314,4,1.521191,0.933800,5.211
314,5,1.516508,0.938800,5.163
314,6,1.513883,0.940900,5.231
314,7,1.511153,0.944000,4.917
314,8,1.509591,0.945900,4.867
314,9,1.507190,0.944300,5.126
314,10,1.505758,0.947100,5.330
314,11,1.505492,0.947800,5.402
314,12,1.503116,0.948300,5.109
314,13,1.502667,0.947600,4.936
314,14,1.500723,0.952200,4.947
314,15,1.499613,0.952100,5.135
314,16,1.498841,0.948600,5.311
314,17,1.497780,0.951900,5.579
314,18,1.498058,0.955000,5.164
314,19,1.496575,0.954800,5.084
314,20,1.496335,0.954800,4.871
314,21,1.496463,0.949800,5.278
314,22,1.496122,0.956800,5.254
314,23,1.495196,0.953900,5.423
314,24,1.495353,0.956900,5.034
314,25,1.493688,0.957000,5.048
