seed,epoch,loss,test_acc,epoch_time
2024,1,1.985477,0.471800,4.602
2024,2,1.953264,0.478600,4.976
2024,3,1.947175,0.482200,4.951
2024,4,1.943450,0.478000,5.037
2024,5,1.937812,0.480400,4.688
2024,6,1.933659,0.478400,4.675
2024,7,1.928307,0.479300,4.667
2024,8,1.926685,0.490400,4.918
2024,9,1.926130,0.478500,4.904
2024,10,1.927490,0.485000,4.986
2024,11,1.926454,0.491100,4.729
2024,12,1.925793,0.489900,4.681
2024,13,1.923566,0.487200,4.733
2024,14,1.921542,0.505900,4.801
2024,15,1.923111,0.517700,4.943
2024,16,1.919985,0.510400,5.023
2024,17,1.925694,0.493700,4.822
2024,18,1.921890,0.502600,4.699
2024,19,1.918686,0.512900,4.778
2024,20,1.917958,0.500100,4.662
2024,21,1.916893,0.499400,4.935
2024,22,1.916705,0.511500,5.030
2024,23,1.918109,0.509900,4.889
2024,24,1.915175,0.514600,4.700
2024,25,1.913479,0.518000,4.714
314,1,2.012835,0.413800,4.683
314,2,1.991566,0.417700,5.000
314,3,1.986288,0.445600,4.935
314,4,1.984917,0.473400,5.056
314,5,1.984014,0.489900,4.836
314,6,1.981379,0.479600,4.702
314,7,1.979648,0.480600,4.613
314,8,1.978989,0.480200,4.950
314,9,1.979346,0.469000,5.021
314,10,1.978365,0.466900,5.054
314,11,1.976807,0.475700,4.792
314,12,1.977469,0.485800,4.749
314,13,1.976729,0.486800,4.639
314,14,1.976296,0.514900,4.769
314,15,1.974509,0.520800,4.935
314,16,1.974785,0.515400,4.968
314,17,1.974897,0.519300,4.840
314,18,1.974391,0.483300,4.671
314,19,1.973786,0.472300,4.645
314,20,1.973370,0.483500,4.843
314,21,1.973143,0.482600,4.944
314,22,1.971702,0.486500,4.974
314,23,1.970221,0.491500,4.924
314,24,1.970018,0.493900,4.606
314,25,1.969078,0.512900,4.664
