seed,epoch,loss,test_acc,epoch_time
2024,1,1.792250,0.685500,6.848
2024,2,1.806408,0.676300,6.781
2024,3,1.815061,0.670200,6.674
2024,4,1.821351,0.666700,6.777
2024,5,1.824374,0.665000,6.817
2024,6,1.826382,0.663000,6.841
2024,7,1.827703,0.660500,6.726
2024,8,1.828797,0.660400,6.743
2024,9,1.829725,0.657600,6.835
2024,10,1.830538,0.656900,6.857
2024,11,1.832597,0.657400,6.772
2024,12,1.833094,0.655200,6.681
2024,13,1.833765,0.655900,6.840
2024,14,1.834633,0.653000,6.861
2024,15,1.834827,0.653400,6.764
2024,16,1.834819,0.653900,6.787
2024,17,1.836001,0.652700,6.725
2024,18,1.837345,0.651400,6.817
2024,19,1.836943,0.651800,6.859
2024,20,1.837179,0.651600,6.729
2024,21,1.838347,0.650400,6.735
2024,22,1.838509,0.651300,6.850
2024,23,1.839416,0.650100,6.870
2024,24,1.838379,0.648500,6.807
2024,25,1.839551,0.648900,6.671
314,1,1.781080,0.685700,6.766
314,2,1.795302,0.684500,6.835
314,3,1.801888,0.677900,6.789
314,4,1.805040,0.675900,6.731
314,5,1.807524,0.676100,6.703
314,6,1.809145,0.674300,6.891
314,7,1.811063,0.673700,6.867
314,8,1.812466,0.673100,6.856
314,9,1.812974,0.672700,6.800
314,10,1.814583,0.671300,6.890
314,11,1.814961,0.670800,6.864
314,12,1.816347,0.671000,6.771
314,13,1.817258,0.671700,6.759
314,14,1.817812,0.670700,6.804
314,15,1.818253,0.668500,6.832
314,16,1.818915,0.669800,6.799
314,17,1.820322,0.671900,6.566
314,18,1.819842,0.670600,6.761
314,19,1.820483,0.670300,6.854
314,20,1.820673,0.669200,6.861
314,21,1.821769,0.671000,6.785
314,22,1.822851,0.670800,6.737
314,23,1.822834,0.670400,6.746
314,24,1.823664,0.671200,6.820
314,25,1.824408,0.671100,6.830
