seed,epoch,loss,test_acc,epoch_time
2024,1,1.693116,0.769800,9.156
2024,2,1.660290,0.781500,9.940
2024,3,1.652381,0.785800,10.385
2024,4,1.648320,0.790400,11.075
2024,5,1.645284,0.796400,11.329
2024,6,1.643307,0.802000,10.859
2024,7,1.641186,0.799100,11.280
2024,8,1.639971,0.813200,11.261
2024,9,1.638396,0.809800,10.886
2024,10,1.587018,0.871500,11.427
2024,11,1.566689,0.871100,10.937
2024,12,1.564410,0.871900,10.955
2024,13,1.563078,0.872400,11.366
2024,14,1.562016,0.874200,10.831
2024,15,1.561171,0.874500,11.262
2024,16,1.560606,0.874400,11.192
2024,17,1.559805,0.876100,10.775
2024,18,1.558959,0.880500,11.269
2024,19,1.558909,0.874600,11.047
2024,20,1.558661,0.877600,10.974
2024,21,1.557981,0.880900,11.374
2024,22,1.557823,0.882000,10.925
2024,23,1.557272,0.885300,11.090
2024,24,1.557122,0.885400,11.278
2024,25,1.556318,0.886700,10.888
314,1,1.546526,0.942500,11.394
314,2,1.505888,0.955300,11.100
314,3,1.497771,0.958700,10.928
314,4,1.492862,0.963800,11.424
314,5,1.489343,0.965800,10.950
314,6,1.486832,0.967300,11.033
314,7,1.484929,0.965900,11.287
314,8,1.483627,0.966400,10.840
314,9,1.481799,0.969300,11.294
314,10,1.481309,0.968100,11.130
314,11,1.479840,0.971700,10.855
314,12,1.478930,0.969900,11.319
314,13,1.477959,0.971700,10.988
314,14,1.477907,0.971300,10.973
314,15,1.477010,0.971800,11.375
314,16,1.476372,0.972800,10.959
314,17,1.475775,0.973100,11.164
314,18,1.474971,0.972500,11.241
314,19,1.474380,0.973100,10.805
314,20,1.474454,0.973700,11.397
314,21,1.473858,0.973200,10.998
314,22,1.473891,0.973400,10.862
314,23,1.473628,0.974000,11.250
314,24,1.473351,0.973800,10.855
314,25,1.472330,0.974600,10.996
