seed,epoch,loss,test_acc,epoch_time
2024,1,1.922987,0.629500,8.287
2024,2,1.239089,0.733700,8.167
2024,3,1.072243,0.758400,8.278
2024,4,0.960431,0.837500,8.345
2024,5,0.841746,0.839500,8.261
2024,6,0.762911,0.909400,8.140
2024,7,0.673461,0.922200,8.289
2024,8,0.643608,0.912600,8.322
2024,9,0.619155,0.913200,8.147
2024,10,0.599891,0.925000,8.202
2024,11,0.562925,0.928700,8.310
2024,12,0.580670,0.925400,8.279
2024,13,0.531844,0.927900,8.197
2024,14,0.480350,0.935200,8.244
2024,15,0.487118,0.932500,8.299
2024,16,0.460409,0.938200,8.279
2024,17,0.433035,0.934800,8.092
2024,18,0.451107,0.929100,8.303
2024,19,0.401025,0.937300,8.351
2024,20,0.438421,0.941800,8.187
2024,21,0.422301,0.941700,8.200
2024,22,0.398411,0.943400,8.286
2024,23,0.406577,0.942200,8.239
2024,24,0.410057,0.947400,8.246
2024,25,0.390647,0.944500,8.264
314,1,2.084251,0.374900,8.271
314,2,1.737768,0.533800,8.289
314,3,1.313955,0.747000,8.207
314,4,1.078568,0.764100,8.323
314,5,1.025772,0.809200,8.331
314,6,0.908730,0.856900,8.224
314,7,0.803630,0.877300,8.252
314,8,0.774119,0.883300,8.344
314,9,0.743588,0.885900,8.283
314,10,0.686649,0.887400,8.192
314,11,0.655739,0.894100,8.276
314,12,0.602703,0.904100,8.339
314,13,0.611530,0.905700,8.210
314,14,0.582987,0.910300,8.227
314,15,0.527448,0.914500,8.331
314,16,0.551364,0.918000,8.283
314,17,0.558714,0.920300,8.184
314,18,0.509803,0.924800,8.186
314,19,0.505065,0.926800,8.339
314,20,0.470753,0.928400,8.244
314,21,0.500915,0.932400,8.121
314,22,0.487440,0.929000,8.286
314,23,0.466196,0.931400,8.321
314,24,0.452700,0.938100,8.179
314,25,0.436003,0.936400,8.225
