seed,epoch,loss,test_acc,epoch_time
2024,1,1.599665,0.921000,8.175
2024,2,1.534946,0.929100,8.161
2024,3,1.522801,0.935600,8.309
2024,4,1.516294,0.942300,8.252
2024,5,1.511860,0.947300,8.203
2024,6,1.510030,0.947500,8.321
2024,7,1.506980,0.950500,8.312
2024,8,1.504294,0.951900,8.167
2024,9,1.503508,0.952500,8.169
2024,10,1.503366,0.949300,8.304
2024,11,1.500286,0.950300,8.252
2024,12,1.499131,0.950700,8.166
2024,13,1.498330,0.954500,8.203
2024,14,1.497152,0.955800,8.304
2024,15,1.495785,0.956100,8.222
2024,16,1.496540,0.956300,8.113
2024,17,1.493707,0.957300,8.329
2024,18,1.493840,0.959700,8.303
2024,19,1.491844,0.960900,8.171
2024,20,1.491230,0.960800,8.172
2024,21,1.490754,0.957300,8.326
2024,22,1.490453,0.961700,8.271
2024,23,1.489566,0.959200,8.186
2024,24,1.488307,0.961500,8.189
2024,25,1.487787,0.963000,8.359
314,1,1.586736,0.921700,8.331
314,2,1.532476,0.933200,8.115
314,3,1.523510,0.938200,8.349
314,4,1.516191,0.942700,8.272
314,5,1.511738,0.944300,8.168
314,6,1.509252,0.947400,8.185
314,7,1.507159,0.949500,8.300
314,8,1.503254,0.951300,8.224
314,9,1.502112,0.954700,8.160
314,10,1.498784,0.955900,8.203
314,11,1.498335,0.956300,8.357
314,12,1.498243,0.956500,8.246
314,13,1.497521,0.956800,8.190
314,14,1.496951,0.957900,8.304
314,15,1.497000,0.955100,8.334
314,16,1.495561,0.959300,8.220
314,17,1.493444,0.959000,8.198
314,18,1.492375,0.959400,8.286
314,19,1.491466,0.961100,8.221
314,20,1.490079,0.961400,8.147
314,21,1.491008,0.962400,8.261
314,22,1.489990,0.963500,8.313
314,23,1.489297,0.961900,8.157
314,24,1.489578,0.962600,8.167
314,25,1.488114,0.964300,8.302
