seed,epoch,loss,test_acc,epoch_time
2024,1,0.062701,0.854700,7.734
2024,2,0.030005,0.876800,7.708
2024,3,0.027028,0.871900,7.628
2024,4,0.024935,0.883300,7.661
2024,5,0.022385,0.887900,7.759
2024,6,0.020528,0.902900,7.707
2024,7,0.018208,0.910500,7.626
2024,8,0.016544,0.918500,7.630
2024,9,0.018227,0.909100,7.758
2024,10,0.016660,0.910800,7.705
2024,11,0.021303,0.895300,7.651
2024,12,0.018075,0.909200,7.699
2024,13,0.016542,0.916500,7.748
2024,14,0.015329,0.919700,7.729
2024,15,0.015867,0.916500,7.638
2024,16,0.014915,0.916100,7.767
2024,17,0.015241,0.924200,7.851
2024,18,0.014398,0.919000,7.663
2024,19,0.014295,0.925800,7.605
2024,20,0.014105,0.926000,7.695
2024,21,0.013854,0.926600,7.759
2024,22,0.013425,0.929000,7.653
2024,23,0.013441,0.929900,7.564
2024,24,0.013233,0.929100,7.722
2024,25,0.013418,0.926300,7.756
314,1,0.048517,0.870400,7.666
314,2,0.023603,0.887000,7.597
314,3,0.021974,0.885300,7.728
314,4,0.020320,0.902000,7.734
314,5,0.017720,0.910100,7.621
314,6,0.016677,0.910900,7.602
314,7,0.016868,0.890200,7.750
314,8,0.017096,0.907800,7.749
314,9,0.017244,0.902200,7.614
314,10,0.017794,0.909400,7.570
314,11,0.017257,0.914400,7.750
314,12,0.017791,0.908100,7.786
314,13,0.016256,0.916900,7.614
314,14,0.015987,0.916700,7.624
314,15,0.015563,0.918000,7.744
314,16,0.014662,0.919000,7.731
314,17,0.014440,0.918700,7.610
314,18,0.015168,0.919500,7.640
314,19,0.014378,0.925200,7.738
314,20,0.013776,0.920500,7.726
314,21,0.013319,0.927700,7.626
314,22,0.013061,0.926400,7.663
314,23,0.013242,0.930700,7.843
314,24,0.013185,0.928900,7.715
314,25,0.013193,0.932000,7.624
