seed,epoch,loss,test_acc,epoch_time
2024,1,2.252982,0.196500,8.977
2024,2,2.177393,0.239500,8.999
2024,3,2.120431,0.263800,9.041
2024,4,2.083613,0.292400,8.966
2024,5,2.058926,0.307400,8.922
2024,6,2.038536,0.319000,8.987
2024,7,2.023552,0.333700,8.995
2024,8,2.009976,0.358400,8.915
2024,9,1.999238,0.370000,8.938
2024,10,1.991184,0.370500,8.992
2024,11,1.980949,0.392900,8.990
2024,12,1.974198,0.404800,8.947
2024,13,1.967784,0.411700,9.066
2024,14,1.960862,0.411900,8.947
2024,15,1.956360,0.410400,8.903
2024,16,1.950432,0.423500,9.070
2024,17,1.946218,0.439800,9.066
2024,18,1.943039,0.415700,8.984
2024,19,1.937385,0.442800,8.964
2024,20,1.934754,0.445300,8.993
2024,21,1.930899,0.457900,8.953
2024,22,1.927409,0.454500,8.931
2024,23,1.924702,0.468200,8.990
2024,24,1.922325,0.461000,9.003
2024,25,1.920632,0.475100,8.911
314,1,2.251141,0.198400,9.030
314,2,2.175359,0.236400,9.025
314,3,2.127493,0.257300,8.936
314,4,2.092793,0.284300,8.983
314,5,2.065456,0.300000,9.088
314,6,2.042510,0.325400,8.906
314,7,2.026322,0.337700,8.947
314,8,2.012355,0.352000,9.020
314,9,2.000925,0.371800,8.968
314,10,1.991731,0.380600,8.847
314,11,1.982564,0.394400,8.933
314,12,1.973723,0.391400,8.987
314,13,1.967669,0.402100,8.950
314,14,1.960481,0.419000,8.940
314,15,1.955359,0.420100,8.976
314,16,1.950566,0.428300,9.012
314,17,1.946110,0.439000,8.898
314,18,1.941159,0.442600,8.945
314,19,1.936941,0.444900,8.987
314,20,1.934664,0.440800,8.906
314,21,1.932175,0.446600,9.016
314,22,1.927417,0.454800,9.035
314,23,1.923855,0.459100,8.960
314,24,1.921103,0.465500,8.989
314,25,1.919056,0.475100,9.001
