seed,epoch,loss,test_acc,epoch_time
2024,1,1.601656,0.896800,8.002
2024,2,1.535284,0.908700,8.080
2024,3,1.526786,0.915200,8.036
2024,4,1.521731,0.923200,8.095
2024,5,1.517473,0.922900,8.192
2024,6,1.514680,0.920500,8.312
2024,7,1.512141,0.922100,8.290
2024,8,1.510285,0.928300,8.120
2024,9,1.508225,0.928600,8.297
2024,10,1.506516,0.937300,8.255
2024,11,1.504575,0.936800,8.154
2024,12,1.503327,0.938800,8.149
2024,13,1.501664,0.940500,8.338
2024,14,1.500629,0.935800,8.315
2024,15,1.499959,0.942300,8.021
2024,16,1.498748,0.944400,8.004
2024,17,1.498025,0.946900,8.038
2024,18,1.497168,0.942600,8.090
2024,19,1.496674,0.942500,8.061
2024,20,1.496467,0.946000,8.178
2024,21,1.495621,0.945300,8.261
2024,22,1.494352,0.947500,8.047
2024,23,1.493264,0.951500,8.183
2024,24,1.492583,0.952000,8.157
2024,25,1.492268,0.951500,8.132
314,1,1.604875,0.772200,8.182
314,2,1.540264,0.800600,8.201
314,3,1.530090,0.804000,8.309
314,4,1.525809,0.808900,8.240
314,5,1.520914,0.816100,8.101
314,6,1.516637,0.822700,8.265
314,7,1.514014,0.820600,8.240
314,8,1.512244,0.827100,8.196
314,9,1.511487,0.819300,8.179
314,10,1.510169,0.828300,8.220
314,11,1.507767,0.829700,8.217
314,12,1.506055,0.827200,8.378
314,13,1.505013,0.827800,8.234
314,14,1.504337,0.828000,8.279
314,15,1.503029,0.833900,8.295
314,16,1.501860,0.836000,8.167
314,17,1.501097,0.832000,8.303
314,18,1.500259,0.835700,8.317
314,19,1.499289,0.835500,8.241
314,20,1.499720,0.833100,8.210
314,21,1.498289,0.836400,8.294
314,22,1.497347,0.834700,8.305
314,23,1.496934,0.837900,8.231
314,24,1.496647,0.833900,8.304
314,25,1.495555,0.837900,8.326
