seed,epoch,loss,test_acc,epoch_time
2024,1,1.599665,0.921000,8.288
2024,2,1.534946,0.929100,8.640
2024,3,1.522801,0.935600,8.417
2024,4,1.516294,0.942300,8.231
2024,5,1.511860,0.947300,8.112
2024,6,1.510030,0.947500,8.574
2024,7,1.506980,0.950500,8.414
2024,8,1.504294,0.951900,8.451
2024,9,1.503508,0.952500,8.552
2024,10,1.503366,0.949300,8.437
2024,11,1.500286,0.950300,8.376
2024,12,1.499131,0.950700,8.567
2024,13,1.498330,0.954500,8.538
2024,14,1.497152,0.955800,8.473
2024,15,1.495785,0.956100,8.485
2024,16,1.496540,0.956300,8.451
2024,17,1.493707,0.957300,8.361
2024,18,1.493840,0.959700,8.276
2024,19,1.491844,0.960900,8.477
2024,20,1.491230,0.960800,8.540
2024,21,1.490754,0.957300,8.464
2024,22,1.490453,0.961700,8.465
2024,23,1.489566,0.959200,8.441
2024,24,1.488307,0.961500,8.306
2024,25,1.487787,0.963000,8.244
314,1,1.586736,0.921700,8.257
314,2,1.532476,0.933200,8.361
314,3,1.523510,0.938200,8.447
314,4,1.516191,0.942700,8.310
314,5,1.511738,0.944300,8.424
314,6,1.509252,0.947400,8.472
314,7,1.507159,0.949500,8.517
314,8,1.503254,0.951300,8.445
314,9,1.502112,0.954700,8.488
314,10,1.498784,0.955900,8.224
314,11,1.498335,0.956300,8.164
314,12,1.498243,0.956500,8.176
314,13,1.497521,0.956800,8.311
314,14,1.496951,0.957900,8.202
314,15,1.497000,0.955100,8.195
314,16,1.495561,0.959300,8.310
314,17,1.493444,0.959000,8.537
314,18,1.492375,0.959400,8.180
314,19,1.491466,0.961100,8.196
314,20,1.490079,0.961400,8.287
314,21,1.491008,0.962400,8.201
314,22,1.489990,0.963500,8.133
314,23,1.489297,0.961900,8.339
314,24,1.489578,0.962600,8.342
314,25,1.488114,0.964300,8.183
