seed,epoch,loss,test_acc,epoch_time
42,1,1.680742,0.840500,6.486
42,2,1.609385,0.836300,6.925
42,3,1.623587,0.810800,7.029
42,4,1.653163,0.791800,6.657
42,5,1.639052,0.770600,6.465
42,6,1.724359,0.777200,6.646
42,7,1.676558,0.799800,6.915
42,8,1.794834,0.527600,6.908
42,9,1.765598,0.736000,6.601
42,10,1.675216,0.842200,6.559
42,11,1.697782,0.773700,6.845
42,12,1.674001,0.819300,7.074
42,13,1.694226,0.661000,6.689
42,14,1.705646,0.762300,6.489
42,15,1.644307,0.844700,6.692
42,16,1.645604,0.828800,7.077
42,17,1.659915,0.710100,6.909
42,18,1.811235,0.605200,6.613
42,19,1.963313,0.571400,6.490
42,20,1.948577,0.546100,6.987
42,21,1.932104,0.459000,6.949
42,22,1.983245,0.452800,6.453
42,23,1.900646,0.556200,6.427
42,24,1.862571,0.645800,6.562
42,25,1.850735,0.671400,6.960
123,1,1.615379,0.910700,6.821
123,2,1.540715,0.928800,6.691
123,3,1.523009,0.938400,6.501
123,4,1.513559,0.947100,7.026
123,5,1.507845,0.946700,7.101
123,6,1.503374,0.951500,6.543
123,7,1.500226,0.952300,6.489
123,8,1.498475,0.953600,6.889
123,9,1.495757,0.957900,7.005
123,10,1.494231,0.956900,6.829
123,11,1.492691,0.958300,6.600
123,12,1.492153,0.958600,6.552
123,13,1.490208,0.959500,7.024
123,14,1.488902,0.959000,7.052
123,15,1.487734,0.960800,6.478
123,16,1.486828,0.965000,6.555
123,17,1.486208,0.965100,6.967
123,18,1.486021,0.963100,7.131
123,19,1.485748,0.964800,6.747
123,20,1.484923,0.964100,6.541
123,21,1.483566,0.964400,6.699
123,22,1.483084,0.967200,6.990
123,23,1.482321,0.966400,6.871
123,24,1.481193,0.964400,6.570
123,25,1.480952,0.965100,6.520
7,1,1.648782,0.902400,6.986
7,2,1.573528,0.893800,7.134
7,3,1.575842,0.896300,6.629
7,4,1.568253,0.888500,6.566
7,5,1.577632,0.909800,6.812
7,6,1.552078,0.912600,6.910
7,7,1.543076,0.921600,6.827
7,8,1.545320,0.920800,6.613
7,9,1.562016,0.905200,6.558
7,10,1.563497,0.890200,6.912
7,11,1.553838,0.922600,7.033
7,12,1.558440,0.913300,6.557
7,13,1.644421,0.762800,6.416
7,14,1.669571,0.828000,6.872
7,15,1.581897,0.892700,6.974
7,16,1.573586,0.891000,6.809
7,17,1.565481,0.894800,6.612
7,18,1.583106,0.860800,6.553
7,19,1.576576,0.909900,6.844
7,20,1.563197,0.912300,6.946
7,21,1.592506,0.890600,6.371
7,22,1.641389,0.843500,6.396
7,23,1.610034,0.886700,6.879
7,24,1.598888,0.868200,7.030
7,25,1.611776,0.879800,6.773
