seed,epoch,loss,test_acc,epoch_time
42,1,1.951941,0.567400,6.986
42,2,1.870271,0.685700,6.503
42,3,1.767338,0.668800,6.241
42,4,1.780459,0.716500,6.137
42,5,1.852835,0.591400,6.062
42,6,1.778613,0.697500,6.523
42,7,1.727212,0.749400,6.515
42,8,1.711785,0.753400,6.070
42,9,1.707275,0.724600,6.119
42,10,1.763264,0.703400,6.064
42,11,1.763522,0.693700,6.557
42,12,1.761501,0.713500,6.530
42,13,1.780006,0.674200,6.142
42,14,1.813098,0.658700,5.955
42,15,1.782157,0.670100,6.264
42,16,1.756292,0.713600,6.545
42,17,1.760013,0.741100,6.443
42,18,1.778849,0.596200,6.010
42,19,1.820986,0.645800,5.929
42,20,1.793908,0.666000,6.416
42,21,1.748404,0.728800,6.552
42,22,1.716913,0.724300,6.310
42,23,1.784241,0.454500,6.089
42,24,1.832316,0.616600,5.974
42,25,1.768450,0.716000,6.514
123,1,2.035212,0.466900,6.481
123,2,1.980135,0.530000,6.232
123,3,1.983353,0.458900,6.128
123,4,2.015645,0.432700,5.976
123,5,1.985711,0.321400,6.483
123,6,1.915163,0.574700,6.582
123,7,1.995982,0.377100,6.167
123,8,1.914185,0.532800,6.059
123,9,1.938460,0.481400,6.162
123,10,1.945650,0.526200,6.526
123,11,1.925137,0.546300,6.661
123,12,1.943280,0.463200,6.161
123,13,1.970637,0.488300,6.029
123,14,1.891123,0.533700,6.169
123,15,1.818878,0.643800,6.453
123,16,1.837269,0.537700,6.466
123,17,1.855612,0.592000,6.047
123,18,1.807049,0.687300,5.971
123,19,1.720781,0.718400,6.518
123,20,1.732360,0.624400,6.616
123,21,1.773367,0.527100,6.344
123,22,1.817695,0.618500,6.116
123,23,1.772684,0.708000,6.162
123,24,1.720803,0.746000,6.282
123,25,1.706545,0.715500,6.516
7,1,2.286580,0.217300,6.265
7,2,2.044187,0.469200,6.136
7,3,1.946821,0.525700,6.060
7,4,1.783156,0.657400,6.457
7,5,1.795070,0.669000,6.596
7,6,1.863170,0.576400,6.129
7,7,1.883758,0.545300,5.951
7,8,1.858699,0.575200,6.166
7,9,1.860950,0.588600,6.499
7,10,1.860031,0.586700,6.597
7,11,1.888714,0.543100,6.182
7,12,1.826014,0.642000,6.126
7,13,1.801960,0.652000,6.496
7,14,1.802724,0.615400,6.702
7,15,1.799849,0.604400,6.345
7,16,1.799815,0.627500,6.220
7,17,1.841102,0.613400,6.014
7,18,1.784904,0.679000,6.526
7,19,1.751815,0.700000,6.589
7,20,1.745949,0.648900,6.210
7,21,1.863498,0.514600,7.344
7,22,1.846168,0.607600,6.399
7,23,1.818392,0.599300,6.650
7,24,1.830725,0.620500,6.510
7,25,1.811180,0.627600,6.102
