seed,epoch,loss,test_acc,epoch_time
42,1,2.072055,0.431600,7.105
42,2,1.897724,0.619200,6.928
42,3,1.892286,0.549500,7.468
42,4,1.841142,0.503900,7.499
42,5,1.818099,0.646600,7.008
42,6,1.791455,0.715500,6.987
42,7,1.794979,0.694300,7.493
42,8,1.705880,0.811100,7.504
42,9,1.668988,0.799700,7.123
42,10,1.733497,0.742100,6.960
42,11,1.668763,0.789200,7.582
42,12,1.655168,0.758000,7.538
42,13,1.657207,0.801400,7.072
42,14,1.677584,0.749600,6.782
42,15,1.659402,0.814100,7.166
42,16,1.639325,0.819700,7.338
42,17,1.631226,0.827500,7.053
42,18,1.625198,0.828300,7.090
42,19,1.629841,0.788000,7.271
42,20,1.638934,0.761200,7.504
42,21,1.644876,0.847400,7.298
42,22,1.623125,0.748800,7.003
42,23,1.671204,0.763300,7.101
42,24,1.687567,0.823300,8.474
42,25,1.632665,0.855600,7.259
123,1,2.026426,0.454600,7.026
123,2,1.964089,0.453100,7.050
123,3,1.952585,0.492300,7.487
123,4,1.987469,0.416600,7.303
123,5,1.959034,0.458500,7.035
123,6,1.855941,0.648100,7.090
123,7,1.796347,0.655200,7.461
123,8,1.760186,0.715700,7.430
123,9,1.739482,0.672700,6.965
123,10,1.735655,0.722700,6.946
123,11,1.761872,0.676300,7.416
123,12,1.728390,0.717100,7.492
123,13,1.800814,0.682200,6.990
123,14,1.771983,0.688400,6.936
123,15,1.800499,0.638800,7.408
123,16,1.813804,0.601600,7.519
123,17,1.770948,0.645900,7.072
123,18,1.767287,0.697100,6.918
123,19,1.704068,0.797900,7.424
123,20,1.776897,0.695800,7.555
123,21,1.710412,0.795100,7.178
123,22,1.660585,0.678600,6.961
123,23,1.619710,0.863600,7.222
123,24,1.636966,0.842000,7.506
123,25,1.605245,0.869300,7.312
7,1,2.053110,0.426600,7.092
7,2,1.963282,0.532800,7.193
7,3,1.802115,0.684900,7.514
7,4,1.837431,0.685800,7.259
7,5,1.755615,0.670500,7.084
7,6,1.751491,0.669500,7.143
7,7,1.694713,0.791600,7.484
7,8,1.688977,0.786100,7.339
7,9,1.657828,0.804400,6.969
7,10,1.648105,0.806900,6.942
7,11,1.631195,0.826500,7.131
7,12,1.601013,0.881000,7.405
7,13,1.580475,0.891300,6.958
7,14,1.574515,0.889500,6.919
7,15,1.637979,0.839300,7.462
7,16,1.580103,0.882800,7.484
7,17,1.569305,0.903100,7.044
7,18,1.556475,0.908600,6.951
7,19,1.548377,0.899900,7.421
7,20,1.548458,0.916000,7.494
7,21,1.546001,0.890100,7.118
7,22,1.581236,0.844800,7.795
7,23,1.558844,0.917900,7.408
7,24,1.557516,0.924600,7.581
7,25,1.539087,0.925300,7.261
