seed,epoch,loss,test_acc,epoch_time
42,1,2.261701,0.186900,6.613
42,2,2.264191,0.221600,6.721
42,3,2.186139,0.247000,6.994
42,4,2.264911,0.099100,6.995
42,5,2.321525,0.155500,6.564
42,6,2.235843,0.120100,6.467
42,7,2.246417,0.105100,7.032
42,8,2.208260,0.111500,7.180
42,9,2.129135,0.125800,6.677
42,10,2.013379,0.128800,6.547
42,11,2.017148,0.118000,6.738
42,12,2.082605,0.123700,7.091
42,13,2.039015,0.227200,6.912
42,14,2.023866,0.303000,6.644
42,15,1.985018,0.506800,6.653
42,16,1.996228,0.231500,7.001
42,17,2.122892,0.221900,7.008
42,18,2.112711,0.268500,6.544
42,19,2.078987,0.346300,6.456
42,20,2.099998,0.335700,6.849
42,21,2.073915,0.367300,7.004
42,22,2.042971,0.403600,6.784
42,23,2.023895,0.412200,6.622
42,24,2.027891,0.359900,6.566
42,25,2.017697,0.422500,6.879
123,1,2.159078,0.273200,6.983
123,2,2.110431,0.193100,6.545
123,3,2.162333,0.317900,6.588
123,4,2.133169,0.296500,6.901
123,5,2.129256,0.277500,7.001
123,6,2.210481,0.297800,6.811
123,7,2.229837,0.312400,6.636
123,8,2.187079,0.366800,6.662
123,9,2.157071,0.405000,6.946
123,10,2.100444,0.254400,6.923
123,11,2.081931,0.317400,6.586
123,12,2.043592,0.435400,6.495
123,13,2.040928,0.312800,7.169
123,14,2.115241,0.334200,7.028
123,15,2.090499,0.345800,6.654
123,16,2.081219,0.354000,6.571
123,17,2.115436,0.325800,6.650
123,18,2.098255,0.315700,6.862
123,19,2.140297,0.319700,6.729
123,20,2.162295,0.345100,6.507
123,21,2.180913,0.365400,6.506
123,22,2.152244,0.380300,6.970
123,23,2.110675,0.486700,6.953
123,24,2.087041,0.517800,6.601
123,25,2.012703,0.521700,6.564
7,1,2.273868,0.270100,6.765
7,2,2.156628,0.344900,6.997
7,3,2.166074,0.318100,6.802
7,4,2.137826,0.403200,6.645
7,5,2.037931,0.421500,6.550
7,6,2.001348,0.463000,6.848
7,7,2.055233,0.336900,7.038
7,8,2.131721,0.323900,6.674
7,9,2.080417,0.380400,6.532
7,10,2.147825,0.219800,6.929
7,11,2.114016,0.327200,7.016
7,12,2.067093,0.383700,6.728
7,13,2.036995,0.426900,6.652
7,14,1.985981,0.523500,6.612
7,15,1.961832,0.514700,6.982
7,16,1.942656,0.546200,6.944
7,17,1.917960,0.567200,6.563
7,18,1.950636,0.456800,6.560
7,19,2.019409,0.261300,6.917
7,20,2.056907,0.325100,7.046
7,21,2.010886,0.352600,6.732
7,22,2.036936,0.273600,6.501
7,23,2.040135,0.308600,6.797
7,24,2.021974,0.368300,7.028
7,25,2.037719,0.539500,6.907
