seed,epoch,loss,test_acc,epoch_time
42,1,1.787805,0.674800,6.831
42,2,1.810366,0.678300,6.875
42,3,1.817973,0.675000,6.854
42,4,1.821127,0.673400,6.761
42,5,1.824055,0.672700,6.760
42,6,1.826333,0.672100,6.862
42,7,1.827795,0.670100,6.855
42,8,1.829169,0.672400,6.758
42,9,1.830073,0.672200,6.740
42,10,1.831166,0.670600,6.835
42,11,1.831216,0.670500,6.873
42,12,1.832043,0.670300,6.784
42,13,1.832545,0.669800,6.772
42,14,1.832639,0.672200,6.768
42,15,1.833584,0.671600,6.810
42,16,1.833918,0.669700,6.836
42,17,1.835062,0.669300,6.746
42,18,1.835011,0.669600,6.749
42,19,1.835867,0.668300,6.859
42,20,1.836257,0.669100,6.843
42,21,1.836599,0.669300,6.783
42,22,1.836784,0.668900,6.721
42,23,1.837494,0.670000,6.837
42,24,1.837647,0.668400,6.877
42,25,1.837402,0.666600,6.778
123,1,1.790832,0.687000,6.815
123,2,1.807091,0.680600,6.777
123,3,1.813000,0.676300,6.849
123,4,1.816903,0.675600,6.908
123,5,1.821224,0.674600,6.791
123,6,1.823976,0.675000,6.702
123,7,1.826854,0.671800,6.875
123,8,1.828725,0.669500,6.850
123,9,1.829664,0.669800,6.802
123,10,1.832425,0.669600,6.776
123,11,1.832719,0.669800,6.762
123,12,1.833580,0.669100,6.894
123,13,1.834574,0.669200,6.882
123,14,1.834826,0.668300,6.769
123,15,1.835570,0.668000,6.771
123,16,1.836344,0.667100,6.847
123,17,1.836916,0.667300,6.878
123,18,1.836793,0.666200,6.828
123,19,1.837834,0.665600,6.752
123,20,1.837753,0.666000,6.811
123,21,1.838146,0.666700,6.842
123,22,1.838202,0.664100,6.825
123,23,1.838717,0.665400,6.782
123,24,1.838844,0.665800,6.743
123,25,1.838816,0.665400,6.982
7,1,1.793162,0.665000,6.993
7,2,1.804400,0.654100,6.752
7,3,1.808092,0.647900,6.741
7,4,1.811061,0.649400,6.844
7,5,1.813609,0.647000,6.849
7,6,1.814152,0.648400,6.816
7,7,1.816150,0.648600,6.767
7,8,1.816775,0.648900,6.768
7,9,1.818499,0.648900,6.872
7,10,1.819276,0.650500,6.824
7,11,1.820144,0.651500,7.132
7,12,1.820998,0.651200,6.765
7,13,1.821740,0.649700,6.893
7,14,1.822053,0.649500,6.880
7,15,1.822636,0.650900,6.816
7,16,1.823454,0.650000,6.686
7,17,1.823638,0.649700,6.828
7,18,1.824510,0.649600,6.888
7,19,1.825527,0.650000,6.822
7,20,1.826494,0.649000,6.784
7,21,1.827001,0.650000,6.814
7,22,1.828091,0.648200,6.893
7,23,1.827938,0.650800,6.854
7,24,1.828813,0.648900,6.764
7,25,1.829382,0.646400,6.735
