seed,epoch,loss,test_acc,epoch_time
42,1,1.794100,0.671800,9.738
42,2,1.748347,0.674600,9.409
42,3,1.741954,0.678300,9.207
42,4,1.738559,0.678600,9.470
42,5,1.736728,0.679300,9.689
42,6,1.735052,0.681700,9.187
42,7,1.733992,0.683800,9.364
42,8,1.732873,0.683800,9.652
42,9,1.732201,0.685400,9.252
42,10,1.731740,0.685200,9.308
42,11,1.730829,0.691100,9.689
42,12,1.730023,0.688200,10.680
42,13,1.730120,0.688800,11.278
42,14,1.729333,0.693300,11.285
42,15,1.728925,0.689400,11.162
42,16,1.728601,0.694600,11.826
42,17,1.728022,0.688800,11.315
42,18,1.727762,0.695400,11.198
42,19,1.728253,0.701400,11.481
42,20,1.727359,0.701100,11.193
42,21,1.726839,0.700700,11.323
42,22,1.726911,0.699100,11.384
42,23,1.726311,0.703400,11.092
42,24,1.726503,0.712300,11.315
42,25,1.725958,0.706200,11.293
123,1,1.690168,0.777000,11.333
123,2,1.657803,0.782800,11.375
123,3,1.650533,0.783300,11.250
123,4,1.646385,0.787300,11.293
123,5,1.643106,0.792700,11.418
123,6,1.641195,0.790200,11.193
123,7,1.639241,0.791200,11.925
123,8,1.637641,0.792100,11.277
123,9,1.636747,0.792500,11.399
123,10,1.635817,0.793900,11.503
123,11,1.635078,0.799400,11.173
123,12,1.634063,0.796600,11.421
123,13,1.633249,0.797700,11.462
123,14,1.633016,0.798600,11.262
123,15,1.632950,0.803900,11.481
123,16,1.631873,0.799900,11.254
123,17,1.631382,0.803500,11.369
123,18,1.630955,0.799500,11.424
123,19,1.630492,0.798300,11.268
123,20,1.630832,0.802800,11.443
123,21,1.630152,0.804000,11.339
123,22,1.630234,0.804200,11.310
123,23,1.625297,0.870900,11.474
123,24,1.564375,0.878400,11.152
123,25,1.559913,0.876700,11.232
7,1,1.716917,0.744900,11.483
7,2,1.676759,0.762600,11.130
7,3,1.669890,0.756600,11.263
7,4,1.666350,0.766400,11.378
7,5,1.663182,0.775000,11.233
7,6,1.660162,0.774800,11.370
7,7,1.658517,0.781600,11.206
7,8,1.657065,0.786400,11.229
7,9,1.655997,0.808800,11.400
7,10,1.654942,0.802400,11.107
7,11,1.653925,0.795100,11.886
7,12,1.653563,0.800500,9.356
7,13,1.652709,0.810700,9.072
7,14,1.651961,0.819700,9.660
7,15,1.651020,0.818400,9.574
7,16,1.650526,0.823900,9.146
7,17,1.650075,0.823600,9.525
7,18,1.649729,0.827400,9.671
7,19,1.649558,0.820200,9.239
7,20,1.648546,0.834900,9.380
7,21,1.648483,0.828700,9.657
7,22,1.648082,0.829200,9.209
7,23,1.648241,0.829700,10.717
7,24,1.647928,0.841100,11.322
7,25,1.647511,0.845500,10.782
