seed,epoch,loss,test_acc,epoch_time
42,1,1.834978,0.478500,26.205
42,2,1.816750,0.722200,26.412
42,3,1.791912,0.667900,26.245
42,4,1.753520,0.576600,26.396
42,5,1.779896,0.446000,26.617
42,6,1.883852,0.587900,26.270
42,7,1.785811,0.673900,26.140
42,8,1.822898,0.538000,26.591
42,9,1.870598,0.518000,26.214
42,10,1.899243,0.583000,26.047
42,11,1.825506,0.612300,26.060
42,12,1.884221,0.616500,26.204
42,13,1.843621,0.729000,26.297
42,14,1.760298,0.470000,25.981
42,15,1.841946,0.602500,26.308
42,16,1.790663,0.657000,26.219
42,17,1.823377,0.614400,26.054
42,18,1.770170,0.676600,26.050
42,19,1.783055,0.704400,26.382
42,20,1.771108,0.670800,25.600
42,21,1.753607,0.692400,25.289
42,22,1.780729,0.695800,25.511
42,23,1.756738,0.725400,25.146
42,24,1.744141,0.714800,25.781
42,25,1.746229,0.721400,25.492
123,1,1.860612,0.695500,25.284
123,2,1.793802,0.510800,25.553
123,3,1.796315,0.605200,26.179
123,4,1.755543,0.524900,25.584
123,5,1.721851,0.649600,25.704
123,6,1.760899,0.608400,25.817
123,7,1.831493,0.649900,25.250
123,8,1.777254,0.715700,25.209
123,9,1.734357,0.615900,25.869
123,10,1.774616,0.726500,25.684
123,11,1.726467,0.728700,25.782
123,12,1.736132,0.751200,25.332
123,13,1.721282,0.778300,25.549
123,14,1.729730,0.694900,25.612
123,15,1.793041,0.637000,26.094
123,16,1.756583,0.696900,25.496
123,17,1.740020,0.723700,25.940
123,18,1.710798,0.727900,25.508
123,19,1.711019,0.730100,25.418
123,20,1.722295,0.719200,25.268
123,21,1.718590,0.648600,25.287
123,22,1.797064,0.692600,25.512
123,23,1.765312,0.718700,25.271
123,24,1.710975,0.739500,25.510
123,25,1.706900,0.719900,25.491
7,1,1.838696,0.745600,25.580
7,2,1.794870,0.427200,25.380
7,3,1.896362,0.682400,25.462
7,4,1.822587,0.703100,25.275
7,5,1.841362,0.631600,25.531
7,6,1.831036,0.592500,25.286
7,7,1.884132,0.565200,25.563
7,8,1.962200,0.452000,25.396
7,9,1.844957,0.670400,25.594
7,10,1.898840,0.524400,25.961
7,11,1.909264,0.581400,25.889
7,12,1.899241,0.560700,25.347
7,13,1.914261,0.586100,25.517
7,14,1.879354,0.547900,25.359
7,15,1.911380,0.566200,25.572
7,16,1.863053,0.652800,25.334
7,17,1.838353,0.579900,25.739
7,18,1.848817,0.464000,25.730
7,19,1.884086,0.625300,25.785
7,20,1.835896,0.657100,25.567
7,21,1.815404,0.662900,25.556
7,22,1.884172,0.593500,25.612
7,23,1.903538,0.609000,25.700
7,24,1.853376,0.637400,25.994
7,25,1.868582,0.601000,25.679
