seed,epoch,loss,test_acc,epoch_time
42,1,2.191587,0.287900,29.487
42,2,2.136619,0.204200,29.487
42,3,2.132675,0.353900,29.683
42,4,2.083073,0.297200,29.313
42,5,2.152958,0.334600,29.386
42,6,2.099713,0.347800,29.529
42,7,2.029409,0.416500,30.434
42,8,1.982374,0.476800,29.680
42,9,1.997696,0.446200,29.927
42,10,2.051618,0.292100,30.016
42,11,2.165619,0.439900,29.747
42,12,2.170508,0.354500,30.387
42,13,2.116227,0.426800,30.184
42,14,2.005170,0.407600,30.261
42,15,2.042505,0.372200,28.975
42,16,2.036651,0.421400,29.143
42,17,2.035849,0.408200,29.936
42,18,2.052479,0.444300,29.559
42,19,2.081296,0.327700,29.621
42,20,2.074386,0.312200,29.474
42,21,2.074884,0.417700,28.996
42,22,2.035541,0.433900,29.200
42,23,2.067986,0.331100,29.797
42,24,2.123762,0.341100,29.723
42,25,2.088164,0.401000,29.298
123,1,2.164936,0.350400,29.219
123,2,2.143551,0.354500,29.420
123,3,2.181462,0.168200,29.624
123,4,2.226300,0.243200,29.167
123,5,2.170084,0.286700,29.427
123,6,2.099768,0.262800,29.217
123,7,2.094015,0.324600,29.101
123,8,2.110800,0.345700,29.185
123,9,2.130786,0.273700,29.653
123,10,2.154822,0.255000,29.689
123,11,2.173228,0.277400,28.909
123,12,2.078565,0.281900,29.069
123,13,2.017122,0.398500,29.443
123,14,1.955419,0.370700,28.633
123,15,1.941015,0.414300,28.913
123,16,1.920673,0.419500,29.197
123,17,1.914296,0.510500,28.824
123,18,1.895275,0.531500,28.823
123,19,1.886813,0.532300,28.606
123,20,1.883605,0.527200,28.646
123,21,1.925973,0.527300,28.914
123,22,1.925547,0.514300,29.007
123,23,2.007783,0.448400,28.549
123,24,1.929638,0.506400,28.567
123,25,1.944087,0.459200,29.173
7,1,2.235453,0.152600,29.264
7,2,2.279755,0.189300,28.905
7,3,2.348490,0.099200,29.197
7,4,2.397356,0.099200,28.267
7,5,2.396673,0.099600,28.858
7,6,2.374710,0.194100,28.769
7,7,2.409955,0.202900,29.008
7,8,2.403878,0.198000,29.302
7,9,2.378297,0.268600,28.271
7,10,2.297860,0.200400,28.797
7,11,2.134991,0.107400,28.547
7,12,2.013390,0.348800,28.905
7,13,1.887194,0.590100,29.164
7,14,1.821813,0.595800,28.607
7,15,1.835390,0.585500,28.485
7,16,1.797415,0.215600,28.868
7,17,1.816364,0.542800,28.716
7,18,1.834925,0.493200,28.638
7,19,1.817141,0.202200,29.024
7,20,1.811939,0.646000,28.521
7,21,1.759883,0.728800,28.531
7,22,1.719088,0.725600,28.817
7,23,1.714392,0.698000,28.538
7,24,1.705770,0.751400,28.274
7,25,1.741177,0.706900,28.585
