seed,epoch,loss,test_acc,epoch_time
42,1,1.619611,0.925200,24.772
42,2,1.558769,0.933500,24.855
42,3,1.541407,0.937400,24.861
42,4,1.530378,0.945600,24.766
42,5,1.521073,0.943800,25.000
42,6,1.517222,0.944400,24.862
42,7,1.514616,0.950900,25.257
42,8,1.511019,0.949500,25.501
42,9,1.508164,0.946800,25.512
42,10,1.507004,0.953600,25.653
42,11,1.504354,0.954600,25.331
42,12,1.504111,0.956400,25.459
42,13,1.502648,0.954100,25.557
42,14,1.501729,0.956600,25.622
42,15,1.499085,0.955200,24.923
42,16,1.499957,0.955100,24.928
42,17,1.498089,0.957900,24.671
42,18,1.497253,0.953800,24.639
42,19,1.497412,0.958200,24.556
42,20,1.496901,0.958500,25.324
42,21,1.494671,0.958200,24.843
42,22,1.493703,0.960100,25.027
42,23,1.495332,0.958400,25.148
42,24,1.494177,0.960300,25.141
42,25,1.495341,0.956600,25.257
123,1,1.675738,0.915900,25.338
123,2,1.558110,0.925000,24.859
123,3,1.537944,0.941300,24.817
123,4,1.527973,0.936500,24.870
123,5,1.523388,0.943900,24.641
123,6,1.516281,0.940300,25.250
123,7,1.514359,0.951500,25.291
123,8,1.511070,0.952000,25.630
123,9,1.508700,0.948100,25.515
123,10,1.506206,0.949600,25.791
123,11,1.505061,0.955800,25.734
123,12,1.502750,0.955800,25.616
123,13,1.503763,0.954900,25.503
123,14,1.501288,0.957100,25.920
123,15,1.499770,0.957000,25.153
123,16,1.499375,0.953500,25.438
123,17,1.497223,0.957700,25.803
123,18,1.498251,0.952000,25.509
123,19,1.496349,0.959200,25.751
123,20,1.495596,0.958100,25.135
123,21,1.493415,0.958300,25.588
123,22,1.494521,0.958900,25.336
123,23,1.493774,0.960800,24.704
123,24,1.493810,0.954700,24.914
123,25,1.493463,0.959000,24.793
7,1,1.633665,0.919700,25.291
7,2,1.557471,0.934700,25.413
7,3,1.541798,0.934500,24.012
7,4,1.531083,0.942800,24.976
7,5,1.526843,0.939300,24.749
7,6,1.519677,0.947500,24.963
7,7,1.514316,0.942900,24.900
7,8,1.511923,0.950100,25.029
7,9,1.509238,0.948900,24.663
7,10,1.506896,0.953700,25.228
7,11,1.504220,0.951300,25.033
7,12,1.502410,0.953200,25.326
7,13,1.502166,0.955400,25.128
7,14,1.500781,0.956000,24.774
7,15,1.501275,0.952200,25.697
7,16,1.501122,0.957000,25.881
7,17,1.499302,0.955100,25.127
7,18,1.496742,0.956400,25.564
7,19,1.495475,0.959400,25.435
7,20,1.495670,0.959900,25.756
7,21,1.495667,0.959800,25.534
7,22,1.495019,0.955100,25.009
7,23,1.493697,0.959500,25.418
7,24,1.492233,0.961300,25.243
7,25,1.491504,0.957200,25.128
