seed,epoch,loss,test_acc,epoch_time
42,1,1.592636,0.929200,22.955
42,2,1.528182,0.945800,23.359
42,3,1.513143,0.953800,23.024
42,4,1.505341,0.953600,23.064
42,5,1.500311,0.957800,22.936
42,6,1.499012,0.958100,22.801
42,7,1.495488,0.956500,23.228
42,8,1.493342,0.963700,22.824
42,9,1.491679,0.960400,23.053
42,10,1.489196,0.967100,23.125
42,11,1.489208,0.968200,22.917
42,12,1.488865,0.962600,23.337
42,13,1.487655,0.965700,23.240
42,14,1.486323,0.965500,22.998
42,15,1.485655,0.965000,22.846
42,16,1.484598,0.967300,23.227
42,17,1.484239,0.968500,23.605
42,18,1.483420,0.968200,22.864
42,19,1.482869,0.969800,23.086
42,20,1.482496,0.969300,22.895
42,21,1.481598,0.968600,22.994
42,22,1.481593,0.968400,23.158
42,23,1.480505,0.971300,23.030
42,24,1.481264,0.970300,22.985
42,25,1.480627,0.970100,23.086
123,1,1.591712,0.936300,23.264
123,2,1.528000,0.941500,22.912
123,3,1.514427,0.954200,23.166
123,4,1.506289,0.955500,22.941
123,5,1.501508,0.956800,22.945
123,6,1.498516,0.959100,22.983
123,7,1.496350,0.960300,23.217
123,8,1.494220,0.962800,22.822
123,9,1.492701,0.962200,23.074
123,10,1.491230,0.957600,22.844
123,11,1.489349,0.963700,23.345
123,12,1.487761,0.963600,23.047
123,13,1.487434,0.963900,22.567
123,14,1.486263,0.965300,22.926
123,15,1.485137,0.966600,23.152
123,16,1.484688,0.967600,23.084
123,17,1.484506,0.965500,22.895
123,18,1.483552,0.966900,22.767
123,19,1.483413,0.967000,23.162
123,20,1.482872,0.969400,22.672
123,21,1.482172,0.968800,23.057
123,22,1.482624,0.968100,22.817
123,23,1.480967,0.967500,22.978
123,24,1.480952,0.967300,22.662
123,25,1.481366,0.969700,23.041
7,1,1.589877,0.935600,23.004
7,2,1.526207,0.948900,22.916
7,3,1.511966,0.955300,23.097
7,4,1.504799,0.954100,23.121
7,5,1.499757,0.959300,23.151
7,6,1.496910,0.953700,22.904
7,7,1.493530,0.962900,22.702
7,8,1.492657,0.962200,23.293
7,9,1.491911,0.961500,22.816
7,10,1.489869,0.963900,23.036
7,11,1.489073,0.964700,22.912
7,12,1.488128,0.962600,23.183
7,13,1.486524,0.966300,22.868
7,14,1.486231,0.964100,22.817
7,15,1.485604,0.965200,23.103
7,16,1.485123,0.966900,22.975
7,17,1.483411,0.967300,22.898
7,18,1.483727,0.967500,23.187
7,19,1.482064,0.969300,22.820
7,20,1.481601,0.970000,23.230
7,21,1.481470,0.970700,22.757
7,22,1.480117,0.967900,22.813
7,23,1.481363,0.968800,23.053
7,24,1.481341,0.970300,23.279
7,25,1.480499,0.968500,23.026
