seed,epoch,loss,test_acc,epoch_time
42,1,1.584189,0.931600,24.166
42,2,1.518602,0.943300,24.013
42,3,1.507251,0.953600,24.042
42,4,1.500016,0.957300,24.569
42,5,1.497282,0.953400,24.208
42,6,1.495280,0.957800,24.377
42,7,1.492660,0.963500,24.423
42,8,1.490375,0.964000,24.472
42,9,1.489752,0.961900,23.919
42,10,1.489701,0.964200,23.853
42,11,1.488536,0.962500,24.171
42,12,1.487730,0.967500,23.801
42,13,1.485891,0.967100,24.226
42,14,1.485957,0.967800,23.933
42,15,1.484615,0.969400,24.111
42,16,1.483590,0.970000,24.353
42,17,1.482426,0.972500,24.197
42,18,1.481937,0.968200,24.546
42,19,1.483020,0.968900,24.363
42,20,1.480766,0.968900,24.400
42,21,1.481015,0.970600,23.927
42,22,1.479640,0.972000,24.248
42,23,1.479747,0.973800,24.470
42,24,1.479208,0.970700,24.260
42,25,1.478465,0.973800,24.115
123,1,1.584588,0.928300,24.060
123,2,1.520186,0.942900,24.275
123,3,1.506201,0.950600,24.064
123,4,1.500795,0.956000,24.290
123,5,1.497743,0.955400,23.870
123,6,1.494907,0.959900,24.298
123,7,1.493221,0.962900,23.971
123,8,1.492061,0.961900,24.398
123,9,1.490135,0.963200,24.341
123,10,1.488641,0.963000,24.238
123,11,1.487369,0.965900,24.314
123,12,1.487238,0.963800,24.165
123,13,1.486817,0.960700,24.306
123,14,1.485644,0.966200,24.040
123,15,1.484482,0.965000,23.996
123,16,1.484953,0.967000,24.595
123,17,1.483253,0.967500,24.557
123,18,1.483449,0.969100,24.654
123,19,1.481902,0.966800,24.012
123,20,1.481876,0.970300,24.450
123,21,1.480031,0.970500,24.049
123,22,1.479997,0.968600,24.080
123,23,1.480413,0.970000,24.237
123,24,1.480501,0.972500,24.425
123,25,1.479125,0.971400,24.064
7,1,1.581775,0.931300,24.377
7,2,1.517030,0.946000,24.594
7,3,1.506176,0.949700,24.094
7,4,1.500274,0.956900,24.181
7,5,1.497053,0.960800,24.451
7,6,1.494508,0.959100,24.412
7,7,1.492788,0.958800,24.395
7,8,1.492144,0.967100,24.474
7,9,1.489562,0.962300,24.245
7,10,1.488294,0.964800,24.141
7,11,1.488288,0.964500,24.751
7,12,1.486035,0.965400,24.680
7,13,1.485122,0.965900,24.173
7,14,1.487017,0.968600,24.292
7,15,1.484454,0.964600,24.277
7,16,1.483762,0.967200,24.199
7,17,1.483635,0.967700,24.768
7,18,1.481822,0.968700,24.180
7,19,1.481850,0.970400,24.235
7,20,1.481522,0.967600,24.160
7,21,1.480524,0.969700,24.528
7,22,1.479914,0.971900,24.248
7,23,1.480670,0.971400,24.438
7,24,1.479201,0.971300,24.180
7,25,1.479132,0.971600,24.199
