seed,epoch,loss,test_acc,epoch_time
42,1,1.575890,0.939300,21.879
42,2,1.510425,0.949300,21.902
42,3,1.499788,0.959100,22.309
42,4,1.494195,0.959000,22.218
42,5,1.491300,0.961600,21.882
42,6,1.488706,0.964200,22.154
42,7,1.486994,0.963600,21.924
42,8,1.485662,0.967200,22.060
42,9,1.483869,0.968000,22.015
42,10,1.483889,0.967100,22.062
42,11,1.481833,0.970900,22.041
42,12,1.480854,0.968900,21.865
42,13,1.479911,0.969100,22.107
42,14,1.479969,0.969100,22.162
42,15,1.479249,0.969600,22.132
42,16,1.479295,0.970300,21.913
42,17,1.477898,0.972000,22.417
42,18,1.477334,0.970400,21.915
42,19,1.476786,0.971700,21.980
42,20,1.475900,0.972100,22.046
42,21,1.476261,0.970300,22.236
42,22,1.475823,0.971300,21.885
42,23,1.474830,0.973500,22.170
42,24,1.474405,0.970900,22.309
42,25,1.474990,0.972500,22.104
123,1,1.575964,0.939900,22.243
123,2,1.510171,0.948900,21.884
123,3,1.499714,0.957000,22.071
123,4,1.494725,0.959800,21.571
123,5,1.491199,0.961400,21.851
123,6,1.488772,0.963000,22.323
123,7,1.486786,0.963600,21.898
123,8,1.485510,0.964600,21.950
123,9,1.484399,0.967000,21.995
123,10,1.482920,0.965400,21.985
123,11,1.482323,0.967400,22.021
123,12,1.481919,0.967200,22.214
123,13,1.480664,0.966600,22.067
123,14,1.479937,0.970200,21.812
123,15,1.479215,0.971400,21.914
123,16,1.479218,0.969400,21.893
123,17,1.478620,0.968600,22.097
123,18,1.477672,0.969900,22.142
123,19,1.477002,0.971900,22.054
123,20,1.475862,0.971500,22.291
123,21,1.475239,0.972300,21.968
123,22,1.475490,0.971000,22.086
123,23,1.475741,0.970700,22.182
123,24,1.474744,0.973200,21.860
123,25,1.474429,0.972800,22.012
7,1,1.572232,0.938600,21.772
7,2,1.509070,0.951500,22.013
7,3,1.498910,0.957800,21.790
7,4,1.493325,0.959200,22.154
7,5,1.490567,0.962500,22.066
7,6,1.488040,0.963000,21.892
7,7,1.485873,0.964500,22.131
7,8,1.485103,0.966300,22.308
7,9,1.483838,0.964400,22.073
7,10,1.483356,0.967700,22.076
7,11,1.482698,0.968700,22.380
7,12,1.481275,0.968200,22.141
7,13,1.480056,0.969400,22.328
7,14,1.479226,0.967800,22.181
7,15,1.478459,0.970500,22.136
7,16,1.478161,0.970300,22.222
7,17,1.477579,0.970800,22.417
7,18,1.476613,0.971900,22.284
7,19,1.476086,0.973200,21.916
7,20,1.475292,0.972500,22.203
7,21,1.474989,0.971400,22.247
7,22,1.474918,0.973800,22.158
7,23,1.474433,0.972600,22.060
7,24,1.474825,0.973300,22.031
7,25,1.473588,0.972000,22.344
