seed,epoch,loss,test_acc,epoch_time
42,1,1.622733,0.930100,20.549
42,2,1.541973,0.943500,20.643
42,3,1.523068,0.945600,20.277
42,4,1.514811,0.952900,20.001
42,5,1.507751,0.955200,20.345
42,6,1.502974,0.953500,20.708
42,7,1.502788,0.953200,20.925
42,8,1.501031,0.955600,20.397
42,9,1.497150,0.960100,20.399
42,10,1.495873,0.964300,20.671
42,11,1.494080,0.963300,20.119
42,12,1.491665,0.963000,20.490
42,13,1.491092,0.959300,21.152
42,14,1.491020,0.965000,20.683
42,15,1.489673,0.964600,20.603
42,16,1.488787,0.962900,20.787
42,17,1.488989,0.966000,20.330
42,18,1.486661,0.964600,20.585
42,19,1.486324,0.967000,20.773
42,20,1.485394,0.966200,21.006
42,21,1.485073,0.966600,20.826
42,22,1.484847,0.966400,20.608
42,23,1.484103,0.966100,20.804
42,24,1.484385,0.968100,20.727
42,25,1.483181,0.965200,20.653
123,1,1.623300,0.931900,20.594
123,2,1.538466,0.934200,20.496
123,3,1.520459,0.949600,20.375
123,4,1.511539,0.955400,20.707
123,5,1.505991,0.955300,20.540
123,6,1.502195,0.956700,20.485
123,7,1.498830,0.954600,20.639
123,8,1.497115,0.960200,20.550
123,9,1.494914,0.961200,20.729
123,10,1.493651,0.961100,20.787
123,11,1.491651,0.964400,20.684
123,12,1.489961,0.965300,20.267
123,13,1.491156,0.964500,20.809
123,14,1.489608,0.963900,19.968
123,15,1.487959,0.965200,20.735
123,16,1.487020,0.964000,20.824
123,17,1.487656,0.966600,20.153
123,18,1.485358,0.966900,20.324
123,19,1.485202,0.965000,20.569
123,20,1.483989,0.965600,20.608
123,21,1.483603,0.966900,20.687
123,22,1.484633,0.966500,20.607
123,23,1.483218,0.966200,20.500
123,24,1.482657,0.967400,20.791
123,25,1.481822,0.967100,20.299
7,1,1.612392,0.931200,20.912
7,2,1.538092,0.938100,20.503
7,3,1.521195,0.949400,20.410
7,4,1.512583,0.951600,21.177
7,5,1.508386,0.955800,20.668
7,6,1.501882,0.956600,20.436
7,7,1.500131,0.955200,20.257
7,8,1.498954,0.958900,21.219
7,9,1.497022,0.960900,20.566
7,10,1.494912,0.960000,20.261
7,11,1.492489,0.962900,20.459
7,12,1.490862,0.962700,20.886
7,13,1.489980,0.963600,20.868
7,14,1.489060,0.965800,20.662
7,15,1.488581,0.962200,20.415
7,16,1.488772,0.965700,20.462
7,17,1.487821,0.965200,20.592
7,18,1.487522,0.965700,20.899
7,19,1.485461,0.963600,20.655
7,20,1.485014,0.966400,20.324
7,21,1.486166,0.963700,20.549
7,22,1.484588,0.965700,20.190
7,23,1.484056,0.966300,20.154
7,24,1.483148,0.969000,20.708
7,25,1.482746,0.968400,20.505
