seed,epoch,loss,test_acc,epoch_time
42,1,2.302590,0.098200,21.159
42,2,2.302585,0.098200,21.007
42,3,2.302585,0.098200,21.465
42,4,2.302585,0.098200,21.427
42,5,2.302585,0.098200,21.316
42,6,2.302585,0.098200,21.182
42,7,2.302585,0.098200,21.511
42,8,2.302585,0.098200,21.458
42,9,2.302585,0.098200,21.312
42,10,2.302585,0.098200,21.272
42,11,2.302585,0.098200,21.323
42,12,2.302585,0.098200,21.287
42,13,2.302585,0.098200,21.676
42,14,2.302585,0.098200,21.251
42,15,2.302585,0.098200,21.146
42,16,2.302585,0.098200,21.568
42,17,2.302585,0.098200,21.403
42,18,2.302585,0.098200,21.572
42,19,2.302585,0.098200,21.136
42,20,2.302585,0.098200,21.297
42,21,2.302585,0.098200,21.300
42,22,2.302585,0.098200,21.302
42,23,2.302585,0.098200,21.448
42,24,2.302585,0.098200,21.175
42,25,2.302585,0.098200,21.382
123,1,2.302579,0.100900,21.241
123,2,2.302585,0.100900,21.325
123,3,2.302597,0.100900,21.814
123,4,2.302624,0.100900,21.153
123,5,2.302585,0.100900,21.265
123,6,2.302585,0.100900,21.419
123,7,2.302586,0.100900,21.140
123,8,2.302719,0.100900,21.357
123,9,2.302750,0.100900,21.310
123,10,2.302630,0.100900,21.438
123,11,2.302659,0.100900,21.298
123,12,2.302644,0.100900,21.668
123,13,2.302673,0.100900,21.241
123,14,2.302609,0.100900,21.425
123,15,2.302616,0.100900,21.501
123,16,2.302682,0.100900,21.392
123,17,2.302663,0.100900,21.458
123,18,2.302574,0.100900,21.713
123,19,2.302602,0.100900,21.428
123,20,2.302538,0.100900,21.365
123,21,2.302705,0.100900,21.133
123,22,2.302601,0.100900,21.349
123,23,2.302691,0.100900,21.459
123,24,2.302654,0.100900,21.173
123,25,2.302687,0.100900,21.126
7,1,2.302371,0.098200,21.277
7,2,2.302348,0.098200,21.468
7,3,2.302086,0.098200,21.363
7,4,2.302114,0.098200,21.361
7,5,2.302148,0.098200,21.394
7,6,2.302021,0.098200,21.135
7,7,2.302098,0.098200,21.549
7,8,2.301971,0.098200,21.269
7,9,2.301934,0.098200,21.246
7,10,2.301969,0.098200,21.649
7,11,2.302040,0.098200,21.322
7,12,2.301986,0.098200,21.373
7,13,2.301951,0.098200,21.167
7,14,2.301950,0.098200,21.177
7,15,2.302029,0.098200,21.466
7,16,2.301976,0.098200,21.123
7,17,2.301906,0.098200,21.395
7,18,2.301986,0.098200,21.463
7,19,2.302000,0.098200,21.497
7,20,2.301948,0.098200,21.287
7,21,2.302097,0.098200,21.301
7,22,2.302030,0.098200,21.131
7,23,2.301999,0.098200,21.256
7,24,2.302019,0.098200,21.163
7,25,2.301954,0.098200,21.327
