seed,epoch,loss,test_acc,epoch_time
42,1,1.771758,0.685100,19.411
42,2,1.800341,0.667600,19.189
42,3,1.811186,0.662700,19.140
42,4,1.816371,0.658000,19.216
42,5,1.819622,0.657200,19.149
42,6,1.821756,0.655400,19.130
42,7,1.823403,0.654400,19.493
42,8,1.824925,0.649800,19.467
42,9,1.826414,0.648500,19.373
42,10,1.827184,0.647400,19.254
42,11,1.827616,0.646100,19.406
42,12,1.828390,0.645900,19.052
42,13,1.828754,0.645500,19.197
42,14,1.829259,0.646700,19.047
42,15,1.829654,0.646000,19.455
42,16,1.830762,0.646500,19.165
42,17,1.831077,0.646500,19.038
42,18,1.831787,0.645400,19.103
42,19,1.832067,0.644900,19.096
42,20,1.833000,0.644000,19.103
42,21,1.833460,0.644100,19.006
42,22,1.833196,0.646400,19.334
42,23,1.833828,0.647300,19.476
42,24,1.834151,0.646100,19.163
42,25,1.834490,0.645100,18.402
123,1,1.780849,0.693100,18.792
123,2,1.799699,0.683000,18.961
123,3,1.809528,0.675600,19.744
123,4,1.814056,0.672300,18.668
123,5,1.818479,0.672300,18.650
123,6,1.821188,0.670500,19.346
123,7,1.822442,0.670300,17.743
123,8,1.825094,0.670400,17.779
123,9,1.826534,0.666900,17.738
123,10,1.827266,0.668300,17.288
123,11,1.827743,0.669700,17.969
123,12,1.827935,0.667200,18.216
123,13,1.828989,0.665800,17.836
123,14,1.829359,0.664500,17.295
123,15,1.830030,0.667000,17.576
123,16,1.830413,0.665500,17.506
123,17,1.830569,0.667200,17.640
123,18,1.830673,0.666500,18.004
123,19,1.831024,0.664600,17.846
123,20,1.831173,0.666000,17.893
123,21,1.831472,0.665400,17.588
123,22,1.831888,0.665900,17.714
123,23,1.831808,0.667400,17.885
123,24,1.832213,0.668600,17.988
123,25,1.832137,0.666800,18.121
7,1,1.761149,0.701500,17.908
7,2,1.781529,0.689100,17.695
7,3,1.795827,0.681300,17.935
7,4,1.804717,0.678300,17.705
7,5,1.811550,0.675800,17.483
7,6,1.816348,0.674400,18.192
7,7,1.820414,0.672900,17.874
7,8,1.824826,0.673400,17.772
7,9,1.825514,0.671600,17.696
7,10,1.829918,0.670600,17.702
7,11,1.829568,0.669500,17.448
7,12,1.831134,0.669400,18.009
7,13,1.832204,0.669600,17.683
7,14,1.832705,0.668100,17.855
7,15,1.833737,0.669000,17.644
7,16,1.834898,0.668300,17.778
7,17,1.836006,0.667400,17.843
7,18,1.835673,0.668000,17.768
7,19,1.837350,0.668600,17.771
7,20,1.837345,0.666300,17.811
7,21,1.837819,0.667600,17.915
7,22,1.837797,0.668000,17.676
7,23,1.838639,0.666900,17.390
7,24,1.839053,0.668200,17.872
7,25,1.839465,0.668500,18.024
