seed,epoch,loss,test_acc,epoch_time
42,1,2.159828,0.687200,22.147
42,2,2.160291,0.729100,22.070
42,3,2.161574,0.648900,22.235
42,4,2.160980,0.595700,21.989
42,5,2.159393,0.587900,22.261
42,6,2.159077,0.573400,22.348
42,7,2.160352,0.562400,21.607
42,8,2.161883,0.548500,22.258
42,9,2.162106,0.553000,22.339
42,10,2.166058,0.555100,21.691
42,11,2.170443,0.542700,21.681
42,12,2.172605,0.524400,22.134
42,13,2.173856,0.515800,21.820
42,14,2.175220,0.523200,22.144
42,15,2.177469,0.508900,21.929
42,16,2.176989,0.514300,22.166
42,17,2.179767,0.498800,21.831
42,18,2.179751,0.509800,22.219
42,19,2.181291,0.502500,21.982
42,20,2.183049,0.501900,21.886
42,21,2.179585,0.508200,22.050
42,22,2.183770,0.504200,21.934
42,23,2.181790,0.508700,21.652
42,24,2.181689,0.511200,22.178
42,25,2.181639,0.511600,22.123
123,1,2.166537,0.585300,21.942
123,2,2.160993,0.656200,22.001
123,3,2.165113,0.562200,21.952
123,4,2.173062,0.541000,22.526
123,5,2.176114,0.540100,21.874
123,6,2.176169,0.534900,22.251
123,7,2.177617,0.529400,22.217
123,8,2.178741,0.534400,21.832
123,9,2.183595,0.523900,22.036
123,10,2.182485,0.525200,21.923
123,11,2.183495,0.520400,21.911
123,12,2.183447,0.522300,21.639
123,13,2.182841,0.523800,21.618
123,14,2.184833,0.523100,21.934
123,15,2.181670,0.528300,22.334
123,16,2.182051,0.527300,21.623
123,17,2.183444,0.524500,22.419
123,18,2.183943,0.516400,21.730
123,19,2.185498,0.519300,21.889
123,20,2.186723,0.509900,22.289
123,21,2.185400,0.509600,22.119
123,22,2.186897,0.506300,21.876
123,23,2.186336,0.509300,22.388
123,24,2.186856,0.502500,22.157
123,25,2.187451,0.501400,22.259
7,1,2.163732,0.796500,22.294
7,2,2.158141,0.690800,21.580
7,3,2.162961,0.620400,21.864
7,4,2.161150,0.589500,22.326
7,5,2.160559,0.566700,22.208
7,6,2.158612,0.565800,22.505
7,7,2.160274,0.556300,22.079
7,8,2.163319,0.532700,22.096
7,9,2.167991,0.533200,22.007
7,10,2.169121,0.512000,22.360
7,11,2.173563,0.507700,22.023
7,12,2.173675,0.513600,22.015
7,13,2.174261,0.500600,22.108
7,14,2.174188,0.514500,21.429
7,15,2.173822,0.512500,22.047
7,16,2.181066,0.495500,22.129
7,17,2.177813,0.502200,22.243
7,18,2.175430,0.503800,21.945
7,19,2.176989,0.510700,22.395
7,20,2.176406,0.509800,22.035
7,21,2.177421,0.514900,22.215
7,22,2.175233,0.511500,21.916
7,23,2.178706,0.511000,22.242
7,24,2.177557,0.508600,22.033
7,25,2.179199,0.510600,22.245
