seed,epoch,loss,test_acc,epoch_time
42,1,0.698741,0.942500,20.598
42,2,0.237963,0.951700,20.646
42,3,0.155784,0.962500,20.576
42,4,0.124211,0.966100,21.008
42,5,0.104107,0.965200,20.631
42,6,0.093487,0.972100,20.913
42,7,0.089330,0.965000,20.911
42,8,0.086827,0.971700,20.622
42,9,0.082342,0.971000,20.399
42,10,0.071493,0.972200,20.754
42,11,0.068837,0.971100,20.744
42,12,0.059401,0.971800,20.837
42,13,0.063087,0.970500,20.936
42,14,0.068004,0.971000,20.433
42,15,0.069047,0.971500,20.522
42,16,0.059579,0.969800,20.532
42,17,0.059334,0.973400,20.553
42,18,0.054113,0.972500,21.047
42,19,0.050834,0.971900,20.832
42,20,0.053698,0.974400,20.709
42,21,0.049101,0.974800,20.909
42,22,0.041948,0.971500,20.577
42,23,0.051061,0.971800,20.810
42,24,0.051915,0.972000,20.417
42,25,0.045195,0.975100,20.665
123,1,0.622426,0.943600,20.391
123,2,0.220207,0.954600,20.566
123,3,0.154491,0.969600,20.758
123,4,0.120558,0.968200,20.791
123,5,0.103956,0.970700,20.620
123,6,0.092222,0.970200,20.257
123,7,0.090156,0.969300,20.493
123,8,0.071934,0.969200,21.019
123,9,0.071610,0.969300,21.004
123,10,0.075736,0.969200,21.179
123,11,0.068937,0.975300,20.603
123,12,0.064003,0.972300,20.549
123,13,0.062446,0.970500,20.774
123,14,0.052382,0.971800,20.661
123,15,0.057957,0.972800,20.670
123,16,0.059128,0.971400,21.062
123,17,0.056369,0.971300,20.981
123,18,0.049125,0.970900,21.038
123,19,0.050560,0.969100,20.505
123,20,0.045146,0.972100,20.568
123,21,0.048015,0.972300,20.836
123,22,0.044869,0.973300,20.425
123,23,0.058453,0.973300,21.097
123,24,0.040400,0.977100,20.824
123,25,0.037185,0.970500,20.462
7,1,0.533217,0.952000,20.665
7,2,0.199491,0.962100,20.338
7,3,0.142872,0.966700,20.395
7,4,0.120946,0.969800,20.576
7,5,0.098666,0.963200,20.451
7,6,0.090260,0.967400,20.521
7,7,0.076453,0.967900,20.643
7,8,0.072426,0.971300,20.736
7,9,0.071138,0.971800,20.400
7,10,0.068687,0.973600,21.266
7,11,0.062752,0.972100,20.470
7,12,0.069518,0.970300,20.963
7,13,0.061898,0.969500,20.245
7,14,0.049490,0.974800,21.173
7,15,0.060879,0.970500,20.717
7,16,0.056541,0.974400,21.005
7,17,0.054052,0.973500,20.428
7,18,0.053965,0.973800,20.362
7,19,0.053221,0.974800,20.747
7,20,0.042032,0.975000,21.135
7,21,0.043616,0.970400,20.944
7,22,0.044652,0.973300,20.598
7,23,0.053084,0.973700,20.438
7,24,0.042312,0.971100,20.790
7,25,0.046510,0.973000,20.813
