seed,epoch,loss,test_acc,epoch_time
42,1,1.582042,0.939800,20.856
42,2,1.517515,0.952800,21.013
42,3,1.503381,0.953600,21.157
42,4,1.496576,0.955900,20.868
42,5,1.492186,0.962700,21.150
42,6,1.488645,0.966200,21.025
42,7,1.486677,0.966800,20.548
42,8,1.485251,0.967000,20.467
42,9,1.483124,0.968400,20.682
42,10,1.481813,0.967800,21.125
42,11,1.481187,0.970200,20.915
42,12,1.479705,0.967300,21.063
42,13,1.479216,0.970300,20.910
42,14,1.478682,0.971200,20.681
42,15,1.477483,0.971800,20.610
42,16,1.477990,0.970700,20.714
42,17,1.477149,0.971000,20.511
42,18,1.475953,0.971900,20.890
42,19,1.475472,0.972300,20.811
42,20,1.474957,0.972800,20.471
42,21,1.475162,0.972200,20.531
42,22,1.474575,0.973400,20.974
42,23,1.474186,0.973000,20.705
42,24,1.473899,0.973900,20.651
42,25,1.473194,0.973300,20.623
123,1,1.582379,0.937000,20.530
123,2,1.518256,0.946600,20.500
123,3,1.505023,0.955800,20.923
123,4,1.497462,0.960100,20.770
123,5,1.493246,0.962700,20.430
123,6,1.489561,0.964300,21.079
123,7,1.487770,0.963600,20.607
123,8,1.485402,0.965000,20.857
123,9,1.484034,0.967300,21.131
123,10,1.481942,0.969600,20.830
123,11,1.481379,0.969000,20.586
123,12,1.480725,0.969400,20.533
123,13,1.479319,0.968700,20.795
123,14,1.479324,0.970100,20.930
123,15,1.477984,0.968300,20.410
123,16,1.477138,0.970400,20.519
123,17,1.477335,0.971400,20.787
123,18,1.476498,0.972100,20.648
123,19,1.475456,0.971700,20.545
123,20,1.475360,0.971600,20.791
123,21,1.475090,0.972500,20.673
123,22,1.474755,0.972400,20.741
123,23,1.473901,0.971400,20.676
123,24,1.473977,0.972000,20.782
123,25,1.473514,0.972900,20.462
7,1,1.579200,0.934400,20.910
7,2,1.516640,0.951300,20.672
7,3,1.504169,0.955100,20.686
7,4,1.497065,0.958100,20.761
7,5,1.493444,0.961500,20.603
7,6,1.488934,0.961800,21.015
7,7,1.487405,0.964900,20.544
7,8,1.484682,0.968600,20.997
7,9,1.483243,0.968100,20.477
7,10,1.482587,0.967400,21.145
7,11,1.480952,0.968600,20.671
7,12,1.479675,0.970000,20.429
7,13,1.479083,0.971800,20.773
7,14,1.478344,0.971500,20.991
7,15,1.477677,0.971900,20.829
7,16,1.476841,0.969800,20.912
7,17,1.476816,0.970700,20.323
7,18,1.476177,0.972200,20.756
7,19,1.475671,0.970900,20.384
7,20,1.475374,0.972100,20.917
7,21,1.474652,0.972800,20.830
7,22,1.474345,0.972800,20.628
7,23,1.474663,0.974700,20.504
7,24,1.474218,0.973100,20.985
7,25,1.473726,0.974000,21.233
