seed,epoch,loss,test_acc,epoch_time
42,1,0.033749,0.940400,18.598
42,2,0.014047,0.954400,18.910
42,3,0.011473,0.957000,19.094
42,4,0.010203,0.963100,18.221
42,5,0.009354,0.966200,18.777
42,6,0.008832,0.967100,18.958
42,7,0.008339,0.967200,18.641
42,8,0.007929,0.966800,18.940
42,9,0.007593,0.968600,18.518
42,10,0.007307,0.969000,18.788
42,11,0.007051,0.968500,18.551
42,12,0.006843,0.968400,18.905
42,13,0.006585,0.970300,18.590
42,14,0.006419,0.968000,18.468
42,15,0.006212,0.967100,18.870
42,16,0.006114,0.968700,18.655
42,17,0.005924,0.966900,18.373
42,18,0.005811,0.970300,18.282
42,19,0.005645,0.968400,18.693
42,20,0.005508,0.969800,18.876
42,21,0.005471,0.968600,18.497
42,22,0.005300,0.969000,18.439
42,23,0.005236,0.966900,18.710
42,24,0.005153,0.968000,18.473
42,25,0.005058,0.968200,18.730
123,1,0.034168,0.941900,18.439
123,2,0.014151,0.954200,18.925
123,3,0.011427,0.958400,18.643
123,4,0.010121,0.962300,18.423
123,5,0.009262,0.962300,18.255
123,6,0.008716,0.965900,18.295
123,7,0.008223,0.964500,18.829
123,8,0.007809,0.967900,18.802
123,9,0.007494,0.968400,18.930
123,10,0.007179,0.967300,18.575
123,11,0.006890,0.968100,18.647
123,12,0.006681,0.970700,18.703
123,13,0.006517,0.969000,18.489
123,14,0.006327,0.969800,18.184
123,15,0.006149,0.970100,18.709
123,16,0.006045,0.969500,18.490
123,17,0.005836,0.970700,18.417
123,18,0.005725,0.969700,18.822
123,19,0.005603,0.969100,19.084
123,20,0.005471,0.969400,18.495
123,21,0.005302,0.969000,18.906
123,22,0.005232,0.969300,18.640
123,23,0.005121,0.969800,18.672
123,24,0.005018,0.968100,18.660
123,25,0.004946,0.969000,18.776
7,1,0.034586,0.940000,18.803
7,2,0.014188,0.955100,19.202
7,3,0.011438,0.959400,18.416
7,4,0.010048,0.962000,18.521
7,5,0.009175,0.962300,18.875
7,6,0.008560,0.966400,18.704
7,7,0.008085,0.966000,18.618
7,8,0.007739,0.966600,18.523
7,9,0.007418,0.965800,18.536
7,10,0.007149,0.967200,18.713
7,11,0.006875,0.968500,18.983
7,12,0.006703,0.968200,18.939
7,13,0.006530,0.966800,18.515
7,14,0.006270,0.968700,18.524
7,15,0.006204,0.967200,18.299
7,16,0.006006,0.967200,18.559
7,17,0.005842,0.966100,18.196
7,18,0.005696,0.968500,18.871
7,19,0.005563,0.966400,18.420
7,20,0.005457,0.967600,18.775
7,21,0.005319,0.967200,18.526
7,22,0.005257,0.964700,18.591
7,23,0.005186,0.967900,19.081
7,24,0.005031,0.967100,18.151
7,25,0.004992,0.966200,18.529
