seed,epoch,loss,test_acc,epoch_time
42,1,1.854901,0.728600,20.852
42,2,1.783137,0.744200,20.858
42,3,1.771780,0.753900,21.023
42,4,1.765005,0.750500,20.514
42,5,1.759073,0.760400,21.035
42,6,1.754546,0.768600,20.540
42,7,1.748012,0.771400,20.832
42,8,1.742050,0.773300,20.901
42,9,1.736598,0.777500,20.367
42,10,1.729564,0.776200,20.637
42,11,1.725636,0.790100,20.493
42,12,1.721140,0.791400,20.814
42,13,1.717838,0.794800,20.617
42,14,1.715005,0.794300,21.080
42,15,1.713828,0.796100,20.896
42,16,1.710542,0.798800,20.596
42,17,1.709782,0.795900,20.629
42,18,1.707088,0.803600,20.803
42,19,1.704604,0.808500,20.848
42,20,1.702822,0.806600,20.448
42,21,1.702692,0.812100,20.800
42,22,1.701785,0.813700,20.529
42,23,1.700122,0.820200,20.476
42,24,1.698757,0.820400,20.237
42,25,1.698348,0.825200,20.502
123,1,1.856328,0.738500,20.927
123,2,1.783267,0.741600,20.459
123,3,1.771828,0.742000,20.483
123,4,1.762853,0.755700,20.229
123,5,1.756252,0.757800,20.385
123,6,1.750795,0.756600,20.422
123,7,1.744317,0.767700,20.459
123,8,1.738312,0.772600,20.600
123,9,1.732813,0.785000,20.260
123,10,1.726610,0.784600,20.719
123,11,1.722765,0.784700,20.466
123,12,1.719909,0.780600,20.653
123,13,1.716751,0.792400,20.319
123,14,1.714744,0.807800,20.752
123,15,1.712422,0.796200,20.339
123,16,1.710599,0.804400,20.508
123,17,1.708128,0.803400,20.263
123,18,1.706169,0.802100,20.495
123,19,1.704733,0.810800,20.864
123,20,1.703576,0.811100,20.441
123,21,1.701218,0.809200,20.161
123,22,1.700724,0.815800,20.410
123,23,1.698682,0.814600,20.368
123,24,1.698070,0.822500,20.647
123,25,1.697713,0.812700,20.272
7,1,1.850441,0.734000,20.482
7,2,1.781998,0.739100,20.624
7,3,1.770576,0.747700,20.785
7,4,1.764831,0.745400,20.358
7,5,1.757095,0.758500,20.995
7,6,1.749701,0.762000,20.472
7,7,1.743783,0.767000,20.683
7,8,1.736332,0.774300,20.192
7,9,1.730682,0.777100,20.398
7,10,1.725635,0.781200,20.739
7,11,1.723225,0.788600,20.693
7,12,1.719060,0.785100,20.704
7,13,1.716906,0.793900,20.833
7,14,1.714452,0.800800,20.555
7,15,1.712531,0.799300,20.588
7,16,1.709952,0.802000,20.198
7,17,1.707353,0.800000,20.737
7,18,1.706769,0.800700,20.822
7,19,1.704789,0.816800,20.685
7,20,1.702557,0.816100,20.666
7,21,1.701431,0.813000,20.405
7,22,1.699737,0.807600,20.757
7,23,1.699699,0.821500,20.267
7,24,1.697650,0.825700,20.516
7,25,1.697030,0.819400,20.680
