seed,epoch,loss,test_acc,epoch_time
42,1,1.667476,0.821000,20.500
42,2,1.561508,0.854700,21.417
42,3,1.547298,0.865200,21.187
42,4,1.538176,0.878600,21.304
42,5,1.531718,0.886900,21.230
42,6,1.526435,0.892300,21.205
42,7,1.522073,0.898000,21.029
42,8,1.518185,0.906100,21.312
42,9,1.514678,0.909300,20.974
42,10,1.511778,0.914500,21.220
42,11,1.509151,0.917400,21.233
42,12,1.506936,0.923000,20.544
42,13,1.504689,0.925900,21.551
42,14,1.502963,0.927600,21.049
42,15,1.501318,0.928300,21.149
42,16,1.499702,0.931000,21.232
42,17,1.498185,0.933500,20.921
42,18,1.496852,0.936000,20.824
42,19,1.495490,0.937500,21.157
42,20,1.494587,0.939500,20.693
42,21,1.493487,0.937400,20.742
42,22,1.492383,0.941200,21.503
42,23,1.491485,0.942600,21.186
42,24,1.490592,0.943000,20.609
42,25,1.489700,0.944500,20.855
123,1,1.667939,0.825100,21.228
123,2,1.562295,0.848300,21.690
123,3,1.548259,0.865100,21.341
123,4,1.539058,0.875800,21.467
123,5,1.532220,0.887500,21.227
123,6,1.526683,0.894200,21.123
123,7,1.522406,0.898700,20.958
123,8,1.518689,0.902500,21.128
123,9,1.515171,0.909400,21.535
123,10,1.512135,0.914500,21.392
123,11,1.509768,0.916100,21.105
123,12,1.507463,0.920100,21.065
123,13,1.505357,0.921500,21.274
123,14,1.503401,0.923400,20.989
123,15,1.501676,0.930200,21.366
123,16,1.500019,0.932600,21.148
123,17,1.498563,0.932400,20.887
123,18,1.497269,0.936500,21.175
123,19,1.496110,0.937300,21.042
123,20,1.494937,0.938200,21.346
123,21,1.493850,0.938900,21.167
123,22,1.492864,0.941900,21.495
123,23,1.491931,0.942500,21.046
123,24,1.491029,0.944700,21.553
123,25,1.490211,0.944700,21.201
7,1,1.664106,0.817900,20.998
7,2,1.559124,0.853100,21.092
7,3,1.544944,0.868800,21.182
7,4,1.536046,0.875800,21.190
7,5,1.529805,0.887000,20.898
7,6,1.524783,0.890900,21.071
7,7,1.520567,0.898700,20.978
7,8,1.517029,0.907300,21.000
7,9,1.514153,0.908300,21.050
7,10,1.511336,0.915000,21.213
7,11,1.508868,0.919000,21.135
7,12,1.506630,0.921100,20.765
7,13,1.504705,0.926500,21.229
7,14,1.502829,0.928100,20.967
7,15,1.501229,0.929300,20.903
7,16,1.499672,0.930600,21.061
7,17,1.498356,0.932900,21.198
7,18,1.497111,0.936500,20.857
7,19,1.495825,0.939200,20.643
7,20,1.494697,0.941500,21.252
7,21,1.493640,0.941100,21.406
7,22,1.492569,0.942700,21.199
7,23,1.491715,0.942400,21.068
7,24,1.490688,0.942300,21.550
7,25,1.489987,0.945200,21.028
